EventId,EventTemplate,Occurrences
68e016a1,Jul <*> <*> <*> kernel[0]: AppleThunderboltNHIType2::prePCIWake - power up complete - took <*> us,1019
1c56f178,Jul <*> <*> <*> kernel[0]: AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,1019
2ddcc34a,Jul <*> <*> <*> kernel[0]: AirPort: Link Down on awdl0. Reason 1 (Unspecified).,532
9bcabc31,Jul <*> <*> <*> kernel[0]: ARPT: <*> wl0: wl_update_tcpkeep_seq: Original Seq: <*> Ack: <*> Win size: <*>,442
1acd00e9,Jul <*> <*> <*> kernel[0]: Bluetooth -- LE is supported - Disable LE meta event,532
9b0c38fd,Jul <*> <*> <*> kernel[0]: ARPT: <*> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*> Ack <*> Win size <*>,440
d8b22ed6,Jul <*> <*> <*> kernel[0]: ARPT: <*> wl0: leaveModulePoweredForOffloads: Wi-Fi will <*> <*>,532
3c952011,Jul 1 09:00:55 calvisitor-10-105-160-95 kernel[0]: <*> <*> <*> <*>,4
c28764c3,Jul <*> <*> <*> kernel[0]: IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = <*> unplug = 0,1764
3d90e6f8,Jul 1 09:00:55 calvisitor-10-105-160-95 kernel[0]: <*> <*> <*> <*> <*>,7
b49dd74e,Jul <*> <*> <*> kernel[0]: AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0,532
ad11769f,Jul 1 <*> calvisitor-10-105-160-95 kernel[0]: <*> <*> <*>,64
496b00d2,Jul 1 <*> <*> kernel[0]: <*>,229
a67a76f2,Jul <*> <*> <*> kernel[0]: AirPort: Link Down on en0. Reason <*> (Disassociated <*> <*> <*>,225
22aab50d,Jul <*> <*> <*> kernel[0]: en0: 802.11d country code set to <*>,448
07ca7c70,Jul <*> <*> <*> kernel[0]: en0: Supported channels 1 2 3 4 5 6 7 8 9 10 11 12 13 36 40 44 48 52 56 60 64 100 104 108 112 116 120 124 128 132 136 140 144 149 153 157 161,223
3d0f05d6,Jul <*> <*> <*> symptomsd[215]: -[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,746
486675ac,Jul <*> <*> <*> kernel[0]: ARPT: <*> ARPT: Wake Reason: Wake on <*> <*>,410
bf50d451,Jul <*> <*> <*> configd[53]: setting hostname to <*>,356
20d724d3,"Jul <*> <*> <*> kernel[0]: USBMSC Identifier (non-unique): 000000000820 0x5ac 0x8406 0x820, 3",532
9b276af5,Jul <*> <*> <*> kernel[0]: ARPT: <*> AirPort_Brcm43xx::powerChange: System Wake - Full Wake/ Dark Wake / Maintenance wake,532
45a23d9d,"Jul <*> <*> <*> kernel[0]: ARPT: <*> IOPMPowerSource Information: <*> SleepType: Normal Sleep, 'ExternalConnected': <*> 'TimeRemaining': <*>",950
1cb72482,Jul 1 <*> <*> kernel[0]: ARPT: <*> AirPort_Brcm43xx::platformWoWEnable: <*>,123
3c544756,Jul 1 <*> <*> kernel[0]: <*> - <*> = <*>,326
60a6ab2b,Jul <*> <*> <*> kernel[0]: [HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: <*> <*>,589
76f15c53,Jul <*> <*> <*> networkd[195]: nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>,414
03e0b3a0,"Jul <*> <*> <*> <*> <*> scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",7711
2185df22,Jul <*> <*> <*> configd[53]: network changed: <*> <*> <*> Proxy SMB,365
26313afa,Jul <*> <*> <*> kernel[0]: in6_unlink_ifa: IPv6 address <*> has no prefix,715
92087213,Jul <*> <*> <*> mDNSResponder[91]: <*> Could not write data to client <*> because of error - aborting connection,9
cdfc30b7,"Jul <*> <*> <*> mDNSResponder[91]: <*> DNSServiceCreateConnection: 0 registered records, 1 kDNSServiceFlagsShareConnection operation <*>",9
443c3921,Jul <*> <*> <*> mDNSResponder[91]: -> DNSServiceGetAddrInfo 0x4000D000 0 v4v6 <*> <*>,4
dd7bf9f7,Jul <*> <*> <*> networkd[195]: -[NETClientConnection evaluateCrazyIvan46] CI46 - Perform CrazyIvan46! <*> <*> <*>,483
1401c7cb,Jul <*> <*> <*> cdpd[11807]: Saw change in network reachability <*>,362
96f56018,Jul <*> <*> <*> configd[53]: network changed: <*> DNS- Proxy-,157
6d938cb2,Jul <*> <*> <*> UserEventAgent[43]: Captive: CNPluginHandler en0: <*>,543
5c208ea6,Jul <*> <*> <*> <*> <*> <<<< CRABS >>>> crabsFlumeHostUnavailable: <*> Byte flume reports host unavailable.,222
