LineId,Date,Time,Pid,Tid,Level,Component,Content,EventId,EventTemplate
1,03-17,16:13:38.811,1702,2395,D,WindowManager,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false",ba53cf20,<*> <*> <*> <*> token <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> 
2,03-17,16:13:38.819,1702,8671,D,PowerManagerService,"acquire lock=<*>, flags=<*>, tag=""View Lock"", name=com.android.systemui, ws=null, uid=<*>, pid=<*>",60c833f6,acquire lock <*> flags <*> tag <*> <*> name <*> ws <*> uid <*> pid <*> 
3,03-17,16:13:38.820,1702,8671,D,PowerManagerService,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",6e9a7275,ready <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> 
4,03-17,16:13:38.839,1702,2113,V,WindowManager,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,8a11d6f0,Skipping <*> token <*> <*> <*> <*> <*> <*> going to hide 
5,03-17,16:13:38.859,2227,2227,D,TextView,visible is system.time.showampm,e7d98f02,visible is <*> 
6,03-17,16:13:38.861,2227,2227,D,TextView,mVisiblity.getValue is false,c0215a7d,<*> is false 
7,03-17,16:13:38.869,2227,2227,D,TextView,visible is system.charge.show,e7d98f02,visible is <*> 
8,03-17,16:13:38.871,2227,2227,D,TextView,mVisiblity.getValue is false,c0215a7d,<*> is false 
9,03-17,16:13:38.875,2227,2227,D,TextView,visible is system.call.count gt <*>,24cde421,visible is <*> <*> <*> 
10,03-17,16:13:38.877,2227,2227,D,TextView,mVisiblity.getValue is false,c0215a7d,<*> is false 
11,03-17,16:13:38.881,2227,2227,D,TextView,visible is system.message.count gt <*>,24cde421,visible is <*> <*> <*> 
12,03-17,16:13:38.882,2227,2227,D,TextView,mVisiblity.getValue is false,c0215a7d,<*> is false 
13,03-17,16:13:38.887,2227,2227,D,TextView,visible is system.ownerinfo.show,e7d98f02,visible is <*> 
14,03-17,16:13:38.888,2227,2227,D,TextView,mVisiblity.getValue is false,c0215a7d,<*> is false 
15,03-17,16:13:38.905,1702,10454,D,PowerManagerService,"release:lock=<*>, flg=<*>, tag=""View Lock"", name=com.android.systemui"", ws=null, uid=<*>, pid=<*>",a4bae5a7,<*> <*> <*> <*> tag <*> <*> name <*> ws <*> uid <*> pid <*> 
16,03-17,16:13:38.907,1702,10454,D,PowerManagerService,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",6e9a7275,ready <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> 
17,03-17,16:13:38.915,1702,3693,V,WindowManager,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,8a11d6f0,Skipping <*> token <*> <*> <*> <*> <*> <*> going to hide 
18,03-17,16:13:38.928,2227,2227,I,StackScrollAlgorithm,"updateClipping isOverlap:false, getTopPadding=<*>.<*>, Translation=-<*>.<*>",68842378,<*> <*> <*> <*> Translation <*> 
19,03-17,16:13:38.928,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:false,b5f8f0ab,<*> <*> 
20,03-17,16:13:38.935,1702,3697,W,ActivityManager,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,27f087f4,<*> caller <*> does not hold <*> limiting output 
21,03-17,16:13:38.936,1702,14638,D,PowerManagerService,"release:lock=<*>, flg=<*>, tag=""*launch*"", name=android"", ws=WorkSource{<*>}, uid=<*>, pid=<*>",c6945d16,<*> <*> <*> <*> tag <*> name <*> ws <*> uid <*> pid <*> 
22,03-17,16:13:38.938,1702,14638,D,PowerManagerService,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",6e9a7275,ready <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> 
23,03-17,16:13:38.954,2227,2227,I,PhoneStatusBar,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",6e501209,<*> vis <*> mask <*> <*> <*> <*> <*> diff <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> 
24,03-17,16:13:38.955,2227,2227,I,PhoneStatusBar,cancelAutohide,9e08cdfc,<*> 
25,03-17,16:13:38.955,2227,2227,I,PhoneStatusBar,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",b5f6193c,<*> <*> <*> <*> 
26,03-17,16:13:38.994,1702,27365,I,WindowManager,Destroying surface Surface(name=SurfaceView - com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked:<*> com.android.server.wm.WindowManagerService.performDeferredDestroyWindow:<*> com.android.server.wm.Session.performDeferredDestroy:<*> android.view.IWindowSession$Stub.onTransact:<*> com.android.server.wm.Session.onTransact:<*> android.os.Binder.execTransact:<*> <bottom of call stack> <bottom of call stack>,23cc8cc4,Destroying surface <*> <*> <*> <*> called by <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> 
27,03-17,16:13:39.006,1702,2639,I,WindowManager,Destroying surface Surface(name=com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroySurface:<*> com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:<*> com.android.server.wm.WindowState.destroyOrSaveSurface:<*> com.android.server.wm.WindowManagerService.tryStartExitingAnimation:<*> com.android.server.wm.WindowManagerService.relayoutWindow:<*> com.android.server.wm.Session.relayout:<*> android.view.IWindowSession$Stub.onTransact:<*> com.android.server.wm.Session.onTransact:<*>,42f965f0,Destroying surface <*> <*> called by <*> <*> <*> <*> <*> <*> <*> <*> 
28,03-17,16:13:39.010,1702,2639,D,PowerManagerService,"release:lock=<*>, flg=<*>, tag=""WindowManager"", name=android"", ws=WorkSource{<*>}, uid=<*>, pid=<*>",c6945d16,<*> <*> <*> <*> tag <*> name <*> ws <*> uid <*> pid <*> 
29,03-17,16:13:39.011,1702,2639,D,PowerManagerService,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",67ce1993,<*> <*> <*> event <*> flags <*> uid <*> 
30,03-17,16:13:39.011,1702,2639,D,PowerManagerService,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",6e9a7275,ready <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> 
31,03-17,16:13:39.069,1702,1815,I,WindowManager,"orientation change is complete, call stopFreezingDisplayLocked",6b8795f6,orientation change is <*> <*> <*> 
32,03-17,16:13:39.070,1702,1815,I,WindowManager,Screen frozen for +1s0ms due to Window{<*> u0 com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity},7cba5429,<*> <*> <*> <*> <*> to <*> <*> <*> 
33,03-17,16:13:39.070,1702,1815,D,WindowManager,startAnimation begin,b5f8f0ab,<*> <*> 
34,03-17,16:13:39.079,1702,1815,D,WindowManager,startAnimation end,b5f8f0ab,<*> <*> 
35,03-17,16:13:39.080,1702,1815,D,PowerManagerService,"release:lock=<*>, flg=<*>, tag=""SCREEN_FROZEN"", name=android"", ws=null, uid=<*>, pid=<*>",c6945d16,<*> <*> <*> <*> tag <*> name <*> ws <*> uid <*> pid <*> 
36,03-17,16:13:39.080,1702,1815,D,PowerManagerService,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",6e9a7275,ready <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> 
37,03-17,16:13:39.095,1702,8671,I,AlarmManager,remove(PendingIntent{<*>: PendingIntentRecord{<*> com.tencent.qt.qtl broadcastIntent}}) changed bounds; rebatching,3908b381,<*> <*> <*> <*> <*> <*> <*> 
38,03-17,16:13:39.207,1702,1815,I,WindowManager,"rotationForOrientationLw(orient=<*>, last=<*>); user=<*> USER_ROTATION_LOCKED",b6505de7,<*> <*> last <*> user <*> <*> 
39,03-17,16:13:39.207,1702,1815,I,WindowManager,"Application requested orientation <*>, got rotation <*> which has compatible metrics",ba4401e8,Application requested orientation <*> got rotation <*> which has compatible metrics 
40,03-17,16:13:40.142,1702,2618,D,PowerManagerService,"acquire lock=<*>, flags=<*>, tag=""RILJ_ACK_WL"", name=com.android.phone, ws=null, uid=<*>, pid=<*>",b774c78c,acquire lock <*> flags <*> tag <*> name <*> ws <*> uid <*> pid <*> 
41,03-17,16:13:40.143,1702,2618,D,PowerManagerService,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",6e9a7275,ready <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> 
42,03-17,16:13:40.146,1702,2555,D,PowerManagerService,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",6e9a7275,ready <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> 
43,03-17,16:13:40.147,1702,2633,D,PowerManagerService,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",6e9a7275,ready <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> 
44,03-17,16:13:40.148,1702,2395,D,PowerManagerService,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",6e9a7275,ready <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> 
45,03-17,16:13:40.150,1702,2556,D,PowerManagerService,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",6e9a7275,ready <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> 
46,03-17,16:13:40.190,1702,2250,D,PowerManagerService,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",6e9a7275,ready <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> 
47,03-17,16:13:40.241,2626,8682,W,PhoneInterfaceManager,shouldBlockLocation running ...,f40c901d,<*> running <*> 
48,03-17,16:13:40.241,2626,8682,I,PhoneInterfaceManager,shouldBlockLocation  ret:false,b5f8f0ab,<*> <*> 
49,03-17,16:13:40.280,2626,2642,W,PhoneInterfaceManager,shouldBlockLocation running ...,f40c901d,<*> running <*> 
50,03-17,16:13:40.280,2626,2642,I,PhoneInterfaceManager,shouldBlockLocation  ret:false,b5f8f0ab,<*> <*> 
51,03-17,16:13:40.305,3664,3807,D,TelephonyManager,getNeighboringCellInfo calling app is com.amap.android.ams,a2038a65,<*> calling app is <*> 
52,03-17,16:13:40.307,2626,23469,W,PhoneInterfaceManager,shouldBlockLocation running ...,f40c901d,<*> running <*> 
53,03-17,16:13:40.308,2626,23469,I,PhoneInterfaceManager,shouldBlockLocation  ret:false,b5f8f0ab,<*> <*> 
54,03-17,16:13:40.309,1702,2395,D,PowerManagerService,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",6e9a7275,ready <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> 
55,03-17,16:13:40.319,1702,17630,D,PowerManagerService,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",6e9a7275,ready <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> 
56,03-17,16:13:40.322,2626,2809,W,PhoneInterfaceManager,shouldBlockLocation running ...,f40c901d,<*> running <*> 
57,03-17,16:13:40.322,2626,2809,I,PhoneInterfaceManager,shouldBlockLocation  ret:false,b5f8f0ab,<*> <*> 
