EventId,EventTemplate,Occurrences
fc068c3c,"printFreezingDisplayLogsopening app wtoken = AppWindowToken { < * > token=Token { < * > ActivityRecord { < * > u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761 } } } , allDrawn= false , startingDisplayed = false , startingMoved = false , isRelaunching = false ",1
70a2e653,"<*> <*> < * > , <*> < * > , <*> '' <*> <*> '' , <*> , <*> , <*> < * > , <*> < * > ",1
8fc8e8fa,"<*> , <*> < * > , <*> < * > , <*> < * > , <*> < * > , <*> , <*> , <*> , <*> , <*> < * > , <*> < * > , <*> < * > <*> < * > ",199
111adbcb,Skipping AppWindowToken { < * > token=Token { < * > ActivityRecord { < * > u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761 } } } -- going to hide ,2
d58d51ea,visible is system.time.showampm ,1
72c56c7b,mVisiblity.getValue is false ,5
c289ac65,visible is system.charge.show ,1
338f5b26,visible is <*> gt < * > ,2
303877d9,visible is system.ownerinfo.show ,1
1f9d497c,"<*> : <*> < * > , <*> < * > , <*> '' <*> <*> '' , <*> '' , <*> , <*> < * > , <*> < * > ",1
5bddf7ba,"<*> <*> : <*> , <*> < * > <*> < * > , <*> < * > <*> < * > ",12
711fc95e,updateDimmedActivatedHideSensitive overlap : false ,48
bc13fb36,<*> : <*> < * > <*> <*> <*> <*> <*> <*> <*> ,15
e5230952,"release : lock= < * > , flg= < * > , tag= '' * launch * '' , name=android '' , ws=WorkSource { < * > } , uid= < * > , pid= < * > ",8
1a1ff3ca,"<*> <*> < * > <*> < * > <*> < * > <*> < * > <*> < * > <*> < * > <*> < * > , <*> ( < * > , < * > - < * > , < * > ) , <*> ( < * > , < * > - < * > , < * > ) ",174
d0e946a0,cancelAutohide ,15
82e0861d,"notifyUiVisibilityChanged : vis= < * > , SystemUiVisibility= < * > ",19
20d1393b,<*> <*> <*> ( <*> <*> <*> ) <*> <*> <*> : < * > <*> : < * > <*> : < * > <*> <*> <*> : < * > <*> : < * > <*> : < * > < <*> <*> <*> <*> > < <*> <*> <*> <*> > ,1
d54e6a7e,<*> <*> <*> ( <*> ) <*> <*> <*> : < * > <*> : < * > <*> : < * > <*> : < * > <*> : < * > <*> : < * > <*> <*> <*> : < * > <*> : < * > ,1
60216b25,"release : lock= < * > , flg= < * > , tag= '' <*> '' , name=android '' , ws=WorkSource { < * > } , uid= < * > , pid= < * > ",1
b617ec31,"userActivityNoUpdateLocked : eventTime= < * > , event= < * > , flags= < * > , uid= < * > ",56
52ebd060,"<*> <*> <*> <*> , <*> <*> ",1
5bdd0a61,Screen frozen for +1s0ms due to Window { < * > u0 com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity } ,1
f9063971,startAnimation begin ,1
7c81b7a5,startAnimation end ,1
15416aca,"<*> : <*> < * > , <*> < * > , <*> '' <*> '' , <*> '' , <*> , <*> < * > , <*> < * > ",2
2991397e,remove ( PendingIntent { < * > : PendingIntentRecord { < * > com.tencent.qt.qtl broadcastIntent } } ) changed bounds ; rebatching ,1
f7c8088f,"<*> <*> <*> < * > , <*> < * > <*> <*> <*> < * > <*> ",3
40febe83,"Application requested orientation < * > , got rotation < * > which has compatible metrics ",2
8870067c,"acquire lock= < * > , flags= < * > , tag= '' RILJ_ACK_WL '' , name=com.android.phone , ws=null , uid= < * > , pid= < * > ",10
4b9a6ca7,shouldBlockLocation running ... ,32
b6ae6e73,shouldBlockLocation ret : false ,27
0b1311bf,getNeighboringCellInfo calling app is com.amap.android.ams ,5
07b77e98,<*> <*> : <*> ,13
f004ee54,"release : lock= < * > , flg= < * > , tag= '' RILJ_ACK_WL '' , name=com.android.phone '' , ws=null , uid= < * > , pid= < * > ",7
e0afaf2b,<*> <*> <*> ,5
eaa3ca30,"release : lock= < * > , flg= < * > , tag= '' AudioMix '' , name=audioserver '' , ws=null , uid= < * > , pid= < * > ",6
e2b474b1,Releasing suspend blocker `` PowerManagerService.WakeLocks '' . ,33
074236b4,HBM brightnessIn = < * > ,73
61ba6d4d,HBM brightnessOut = < * > ,71
008e59dc,"Animating brightness : target= < * > , rate= < * > ",74
0dd400c2,suspendAutohide ,22
74c0405d,interceptKeyTq keycode= < * > interactive=true keyguardActive=false policyFlags= < * > down true canceled false ,7
08117211,"interceptKeyBeforeQueueing : key < * > , result : < * > ",14
d782ef74,resumeSuspendedAutohide ,10
5e207c16,interceptKeyTq keycode= < * > interactive=true keyguardActive=false policyFlags= < * > down false canceled false ,7
7b9a4645,querySoundEffectsEnabled ... ,17
