EventId,EventTemplate,Occurrences
78f10049,instruction cache parity error corrected ,42
c5c0dd84,<*> double-hummer alignment exceptions ,74
79df7ce9,"CE sym <*> , at <*> , mask <*> ",21
7421ed71,ciod : <*> to <*> message prefix on <*> <*> ( CioStream socket to <*> ,3
06c0a9ea,"CE sym <*> , at <*> , mask 0x40 ",11
20ef6802,generating <*> ,721
662afefe,<*> <*> <*> <*> 0 ,11
6752dad8,"CE sym <*> , at <*> , mask 0x10 ",16
af2002d7,"CE sym <*> , at <*> , mask 0x04 ",15
ce0f6604,ciod : <*> <*> <*> <*> <*> <*> <*> message <*> ,1
ac746c9c,ciod : LOGIN chdir ( <*> ) failed : No such file or directory ,18
cce5ae74,"CE sym <*> , at <*> , mask 0x02 ",13
1aef2058,"1 ddr errors ( s ) detected and corrected on rank 0 , symbol <*> , bit 1 ",3
5901aff0,"CE sym <*> , at <*> , mask 0x20 ",10
b9b29cfb,data TLB error interrupt ,60
65490b34,ciod : <*> <*> <*> <*> <*> <*> or <*> ,1
a15cb5bb,data storage interrupt ,30
d502e336,instruction address : 0x00004ed8 ,20
f58944ac,data address : <*> ,8
5660accf,machine <*> : <*> <*> 0 ,5
47385cf1,program interrupt : illegal instruction ...... 0 ,5
90e13903,<*> <*> register : <*> ,6
c6a68169,data store interrupt caused by dcbf ......... 0 ,5
a1e71bfb,program interrupt : privileged instruction ... 0 ,5
a295f791,program interrupt : <*> instruction ......... 0 ,1
78b4cdc9,program interrupt : imprecise exception ...... 0 ,5
ed2b6473,<*> <*> <*> 1 ,2
e5b438db,machine <*> register : 0x00002000 ,4
898930cf,data store interrupt caused by icbi ......... 0 ,5
a80bea05,<*> <*> ( <*> ) <*> 0 ,3
a86fb056,floating point <*> . <*> <*> 1 ,4
2ac26d09,<*> processor <*> 0 ,5
b44e6c7c,machine <*> <*> <*> 0 ,2
683144d0,floating <*> <*> <*> 0 <*> <*> 0 ,3
7f9019fb,program interrupt : <*> <*> <*> 0 ,2
e1e73fda,<*> interrupt enable <*> 0 ,1
df7c6354,floating <*> <*> <*> 1 <*> <*> 0 ,2
48331155,data address <*> <*> 0 ,5
f31b2ecf,<*> <*> register : 0x00002000 ,7
5bc573ce,program interrupt : fp cr <*> ............. 0 ,1
347334c7,<*> <*> <*> <*> <*> ,2
9401b172,program interrupt : fp cr field ............. 0 ,4
a38d59fd,<*> <*> <*> <*> <*> <*> 1 ,1
2d68f014,<*> <*> enable <*> 0 ,3
a32b5403,critical input interrupt enable ... 0 ,1
3553369e,<*> <*> <*> : ,1
b5f6193c,<*> <*> <*> <*> ,3
122cc3cb,rts <*> error ,1
e379849f,instruction address <*> <*> 0 ,1
0e3acb52,total of 1 ddr error ( s ) detected and corrected ,9
47fcd75e,"ciod : Error loading <*> : invalid or missing program image , No such file or directory ",21
140a1394,ciod : Error creating node map from file <*> : <*> <*> <*> ,2
46cbde3f,"CE sym 0 , at <*> , mask 0x40 ",4
d0268f38,"CE sym 0 , at <*> , mask <*> ",2
e41db344,program interrupt ,3
ecb7a2b0,program interrupt : illegal instruction ...... 1 ,3
f2e9e0ec,instruction address : <*> ,1
6dafd125,Node card is not <*> <*> ,6
ad099ee9,ciod : Error creating node map from file <*> : <*> file <*> ,1
ca85ca86,<*> <*> status <*> : FF : <*> : <*> : <*> : <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,2
ecc58138,<*> not <*> <*> <*> for node card ,6
3aed4609,1146800 double-hummer alignment exceptions ,27
87014ef2,458720 double-hummer alignment exceptions ,8
16dfc613,ciod : <*> or <*> <*> on line <*> of node map file <*> ,2
bf49c88c,1 torus receiver z+ input pipe error ( s ) ( dcr <*> ) detected and corrected ,1
f4334b4d,ciod : <*> <*> <*> to <*> <*> <*> <*> line 3 of node map file <*> ,1
174ae13c,rts <*> <*> <*> <*> <*> ,2
f8b97825,ciod : Error creating node map from file <*> : <*> <*> ,1
8c338474,ciod : <*> <*> <*> <*> <*> <*> <*> <*> line <*> of node map file <*> ,1
c0525678,"1 ddr errors ( s ) detected and corrected on rank 0 , symbol <*> , bit <*> ",4
10b0718c,"rts : <*> <*> for <*> <*> : <*> <*> <*> : <*> <*> , <*> , <*> , <*> , <*> ",1
d2ecf8f0,8 floating point alignment exceptions ,37
3931c6a4,15 floating point alignment exceptions ,14
