EventId,EventTemplate,Occurrences
01b76e27,081109 <*> <*> INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block <*> terminating ,10
36035265,081109 <*> <*> INFO dfs.DataNode$PacketResponder: PacketResponder 0 for block <*> terminating ,11
37f3b916,081109 <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864 ,6
90ef2cab,<*> <*> <*> INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block <*> terminating ,2
0a76d40f,081109 <*> <*> INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block <*> terminating ,2
0f62c5b2,081109 <*> 26 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864 ,2
10d6d09c,081109 <*> <*> INFO dfs.DataNode$PacketResponder: Received block <*> of size 67108864 from <*> ,28
bc9c1795,<*> <*> <*> INFO dfs.DataNode$PacketResponder: Received block <*> of size 67108864 from <*> ,13
f4a65f27,<*> <*> <*> INFO dfs.DataNode$DataXceiver: Receiving block <*> src: <*> dest: <*> ,24
fb57639d,081109 <*> 31 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864 ,3
cf6bd155,<*> <*> 28 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: <*> <*> ,1
dde078f3,<*> <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: <*> <*> ,3
3687ba42,081109 <*> 28 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864 ,2
5454707c,<*> <*> 29 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864 ,3
e28ebd37,<*> <*> 31 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: <*> <*> ,1
fc1e076f,081109 <*> 13 INFO dfs.DataBlockScanner: Verification succeeded for <*> ,2
520de9a0,081109 <*> 32 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864 ,3
ee32dacf,081109 <*> 27 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864 ,2
2b82e591,081109 <*> <*> INFO dfs.DataNode$PacketResponder: Received block <*> of size <*> from <*> ,1
721a4a37,<*> <*> 31 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864 ,3
7e65bd36,<*> <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864 ,2
bbddf472,081109 <*> 31 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*> ,1
d65f20e2,<*> <*> 19 INFO dfs.FSDataset: Deleting block <*> file <*> ,13
8a2375d2,081109 <*> <*> INFO dfs.DataNode$DataXceiver: <*> Served block <*> to <*> ,9
544e92ef,081109 <*> <*> WARN dfs.DataNode$DataXceiver: <*> exception while serving <*> to <*> ,20
a45fb2b1,<*> <*> <*> WARN dfs.DataNode$DataXceiver: <*> exception while serving <*> to <*> ,2
36eab51e,<*> <*> 26 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864 ,1
b37367f3,081109 <*> 26 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: <*> <*> ,1
784ec07f,081109 <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: <*> <*> ,1
89820cec,081109 <*> 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: <*> <*> ,1
c4fc455d,081110 <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000318_0/part-00318. <*> ,2
55bb7153,081110 <*> 28 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864 ,10
becfdaf2,081110 <*> <*> INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block <*> terminating ,46
000dd848,081110 <*> <*> INFO dfs.DataNode$PacketResponder: PacketResponder 0 for block <*> terminating ,36
40e97876,081110 <*> <*> INFO dfs.DataNode$DataXceiver: Receiving block <*> src: <*> dest: <*> ,132
55648ade,081110 <*> <*> INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block <*> terminating ,45
037e54f8,081110 <*> <*> INFO dfs.DataNode$PacketResponder: Received block <*> of size 67108864 from <*> ,123
0824b388,081110 <*> 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864 ,6
88529c8b,081110 <*> <*> INFO dfs.DataNode$PacketResponder: PacketResponder <*> for block <*> terminating ,2
d9893fb5,081110 <*> 29 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864 ,3
08589951,081110 <*> 27 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864 ,11
3508771c,081110 <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864 ,44
dcdacc3b,081110 <*> <*> INFO dfs.DataNode$PacketResponder: Received block <*> of size <*> from <*> ,6
b9933cc3,081110 <*> 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: <*> <*> ,1
457b055a,081110 <*> 13 INFO dfs.DataBlockScanner: Verification succeeded for <*> ,15
c26ff623,081110 <*> 33 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864 ,4
e8c8c464,081110 <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: <*> <*> ,22
1214113b,081110 <*> 26 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864 ,19
8d6f3493,081110 <*> 31 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864 ,13
9ff84b50,081110 <*> 33 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: <*> <*> ,3
ac2bfa1f,081110 <*> 30 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864 ,11
20515144,081110 <*> 32 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: <*> <*> ,7
a7110425,081110 <*> 29 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: <*> <*> ,5
