EventId,EventTemplate,Occurrences
6d11bedf,<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> is <*> <*> <*> <*> <*> <*> ,1
736de771,Component State <*> Component <*> <*> <*> <*> <*> <*> state <*> <*> ,11
dab9f72a,<*> command <*> ,8
ac0e0ac0,boot command <*> ,67
2d5a8467,wait command <*> ,66
4385a88a,Command has <*> <*> ,11
a02d0496,<*> <*> node <*> <*> <*> node <*> <*> <*> <*> command <*> ,5
70556bd7,<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,1
f90df12f,<*> <*> <*> <*> <*> <*> <*> <*> ,1
77da37e0,<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,1
df42558c,<*> <*> node <*> <*> <*> node <*> ,1
6b6165ad,<*> <*> ambient <*> ,5
bcc60a21,<*> <*> <*> warning <*> ,2
96047ed8,<*> <*> is no <*> <*> <*> domain <*> ,32
12887502,NIFF node node <*> detected <*> <*> network connection on network <*> <*> <*> <*> via interface <*> ,2
292fd32e,<*> An <*> domain <*> has <*> on <*> ,1
5045c354,Fan speeds <*> <*> <*> <*> <*> ,79
047362f0,Fan speeds <*> <*> <*> <*> <*> <*> ,11
e0afaf2b,<*> <*> <*> ,2
bab5ac0e,Link <*> ,13
c1cd5f06,Link <*> <*> ,9
b5f8f0ab,<*> <*> ,13
5684aca9,Link <*> on <*> <*> <*> <*> <*> <*> <*> ,4
a817f97b,<*> <*> domain <*> <*> is <*> ,12
a7d063a2,<*> <*> domain <*> <*> <*> is no <*> <*> <*> node node <*> ,6
028cea77,<*> <*> domain <*> domain is no <*> <*> <*> node node <*> ,16
661898f7,<*> <*> domain <*> <*> is no <*> <*> <*> node node <*> ,9
0ea52455,<*> <*> domain <*> is no <*> <*> <*> node node <*> ,4
a08f0843,<*> <*> domain <*> domain <*> is no <*> <*> <*> node node <*> ,1
b3be2b82,running ,162
9e08cdfc,<*> ,42
e2b5b958,not responding ,61
fe1280e2,configured out ,91
1af1b6db,<*> <*> node <*> <*> <*> node <*> <*> <*> node <*> <*> <*> node <*> <*> <*> ,2
e9169949,<*> <*> node <*> <*> <*> node <*> <*> <*> node <*> <*> <*> node <*> <*> <*> node <*> <*> <*> node <*> <*> <*> node <*> <*> <*> node <*> <*> <*> node <*> <*> <*> node <*> <*> <*> node <*> <*> <*> node <*> <*> <*> node <*> <*> <*> ,1
f662d1b9,<*> <*> node <*> <*> <*> node <*> <*> <*> node <*> <*> <*> node <*> <*> <*> node <*> <*> <*> ,1
eb4ff194,normal ,206
92362443,warning ,205
7be267ac,ambient <*> ,292
5a2e94cc,<*> event interval expired ,394
0661bd5f,<*> command <*> <*> <*> out <*> <*> <*> <*> <*> <*> <*> <*> ,1
fe69cbea,boot command <*> <*> <*> <*> <*> <*> ,1
8dc164b1,link errors remain current ,56
0f43005c,NIFF node node <*> has detected an available network connection on network <*> <*> <*> <*> via interface <*> ,91
