EventId,EventTemplate,Occurrences
57a72c4d,<*> MRAppMaster <*> <*> <*> ,1
48d5ce60,Executing with tokens : ,1
3fc39226,"<*> : <*> , <*> : , <*> : ( <*> { <*> { <*> : <*> <*> : <*> } <*> : <*> } <*> : <*> ) ",1
bc66e6e5,Using mapred newApiCommitter . ,1
f2a51a07,OutputCommitter <*> <*> <*> <*> ,1
a21fbd32,OutputCommitter is <*> ,1
784ed797,Registering class <*> for class <*> ,2
eb3296fe,Registering class <*> for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster $ <*> ,1
7666c825,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster $ TaskEventDispatcher ,1
45fff5f3,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster $ TaskAttemptEventDispatcher ,1
67960008,Registering class <*> $ EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster $ <*> ,3
10e09a8b,Default file system [ hdfs : //msra-sa-41:9000 ] ,3
60cb8d3b,<*> <*> <*> <*> to the <*> server is not <*> ,1
f84a430a,Registering class <*> $ <*> for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster $ <*> ,1
b5f6193c,<*> <*> <*> <*> ,7
58790209,<*> <*> <*> <*> <*> <*> <*> <*> <*> . ,1
829691ae,MRAppMaster <*> <*> <*> ,1
19045a00,<*> job <*> for job_1445144423722_0020 to <*> ,1
5a86434b,<*> <*> <*> <*> <*> <*> <*> ; <*> <*> maps ; <*> <*> <*> ; ,1
4085db01,<*> <*> for job job_1445144423722_0020 = <*> . Number of <*> = <*> ,1
c56a07a6,Number of <*> for job job_1445144423722_0020 = <*> ,1
5bf3b691,job_1445144423722_0020Job Transitioned from <*> to INITED ,1
450e8307,"<*> <*> <*> , <*> , <*> <*> <*> . ",1
15d40c86,Using callQueue class java.util.concurrent.LinkedBlockingQueue ,2
7cef203e,Starting Socket Reader # 1 for port 62260 ,1
6108cd40,<*> <*> <*> to the server ,1
0022abf8,<*> <*> <*> <*> < <*> > <*> ,1
c40927d5,IPC Server Responder : starting ,2
9692d3c4,IPC Server listener on <*> : starting ,2
e181db18,<*> to <*> <*> <*> <*> <*> <*> ,1
33f5b335,<*> <*> <*> for <*> is not <*> ,1
991cb71e,Added <*> filter <*> <*> ( <*> <*> <*> ) ,1
98b9d18d,Added filter AM_PROXY_FILTER ( class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter ) to context <*> ,2
bc758d05,adding path spec : /mapreduce/ * ,1
cb5ad7a1,adding path spec : /ws/ * ,1
2f97fd60,Jetty bound to port 62267 ,1
3e299cec,jetty-6.1.26 ,1
8638778d,<*> <*> : file : <*> : <*> <*> <*> to <*> : <*> ,1
68578c3b,Started HttpServer2 $ SelectChannelConnectorWithSafeStartup @ < * > :62267 ,1
d9f54b8a,<*> <*> <*> <*> <*> <*> ,1
c088ca7f,<*> job_1445144423722_0020 ,1
b71b3bfe,<*> : <*> ,3
8b6d6c34,maxTaskFailuresPerNode is 3 ,1
31a7e4be,<*> is <*> ,1
27ddf35e,Starting Socket Reader # 1 for port 62270 ,1
ff9afba7,<*> to <*> <*> msra-sa-41/ < * > :8030 ,1
06829067,"maxContainerCapability : < memory:8192 , vCores:32 > ",1
f5aa5708,Upper limit on the thread pool size is 500 ,1
bd93a64f,job_1445144423722_0020Job Transitioned from INITED to SETUP ,1
07293edd,<*> the <*> EventType : <*> ,1
496a769d,job_1445144423722_0020Job Transitioned from SETUP to <*> ,1
e2475fb5,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack ,15
5afe8566,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack ,18
ec5bd6a0,<*> Task Transitioned from NEW to SCHEDULED ,11
574aca2a,<*> TaskAttempt Transitioned from NEW to UNASSIGNED ,8
6e328cd8,attempt_1445144423722_0020_m_000005_0 TaskAttempt Transitioned from NEW to UNASSIGNED ,1
10df6f05,attempt_1445144423722_0020_m_000006_0 TaskAttempt Transitioned from NEW to UNASSIGNED ,1
2eaa4c46,attempt_1445144423722_0020_m_000007_0 TaskAttempt Transitioned from NEW to UNASSIGNED ,1
ac1f7c7c,"mapResourceRequest : < memory:1024 , vCores:1 > ",1
415db342,Event <*> <*> for <*> : <*> <*> <*> : <*> : <*> ,1
1c9d2a8c,"reduceResourceRequest : < memory:1024 , vCores:1 > ",1
60423723,Before Scheduling : PendingReds:1 <*> ScheduledReds:0 <*> AssignedReds:0 <*> CompletedReds:0 <*> <*> <*> <*> ,1
c1868647,"getResources ( ) for application_1445144423722_0020 : ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit= < <*> , vCores : <*> > knownNMs=4 ",3
26544cf1,"Recalculating schedule , headroom= < memory:10240 , vCores : -17 > ",2
2fc873d8,Reduce slow start threshold not met . completedMapsForReduceSlowstart 1 ,116
f7b53a40,Got allocated containers 1 ,9
4f4e6dc8,Resolved 04DN8IQ.fareast.corp.microsoft.com to /default-rack ,2
bfbc46fe,Assigned container <*> to <*> ,5
909d0075,"Recalculating schedule , headroom= < <*> , vCores : <*> > ",5
cad78007,After Scheduling : PendingReds:1 ScheduledMaps:9 ScheduledReds:0 AssignedMaps:1 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:1 ContRel:0 HostLocal:0 RackLocal:1 ,1
750433c4,The <*> file on the remote FS is <*> : <*> ,1
6b2b257f,The <*> file on the remote FS is <*> ,1
fa213701,Adding # 0 tokens and # 1 secret keys for NM use for launching container ,1
3dbe69c5,<*> <*> <*> <*> 1 ,1
347334c7,<*> <*> <*> <*> <*> ,2
3c62decf,<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED ,7
82edc8e7,Processing the event EventType : CONTAINER_REMOTE_LAUNCH for container <*> taskAttempt <*> ,7
4e82a656,Launching <*> ,10
24c8d8a6,Opening proxy : <*> ,1
bfb0db44,Shuffle port returned by ContainerManager for <*> : 13562 ,8
27e7c443,TaskAttempt : [ <*> ] using containerId : [ <*> on NM : [ <*> ] ,1
7e65b000,<*> TaskAttempt Transitioned from ASSIGNED to RUNNING ,7
9d41d2df,ATTEMPT_START <*> ,10
7b3bd79a,<*> Task Transitioned from SCHEDULED to RUNNING ,10
fa614f6a,Resolved MININT-FNANLI5.fareast.corp.microsoft.com to /default-rack ,4
3ccebbc5,Assigned container <*> to attempt_1445144423722_0020_m_000001_0 ,1
af347179,After Scheduling : PendingReds:1 ScheduledMaps:8 ScheduledReds:0 AssignedMaps:2 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:2 ContRel:0 HostLocal:0 RackLocal:2 ,1
451a3187,Processing the event EventType : CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000003 taskAttempt attempt_1445144423722_0020_m_000001_0 ,1
07b77e98,<*> <*> : <*> ,2
053753b6,Shuffle port returned by ContainerManager for attempt_1445144423722_0020_m_000001_0 : 13562 ,1
081d2288,TaskAttempt : [ <*> ] using containerId : [ <*> on NM : [ MININT-FNANLI5.fareast.corp.microsoft.com:52368 ] ,2
53ac12dc,After Scheduling : PendingReds:1 ScheduledMaps:7 ScheduledReds:0 AssignedMaps:3 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:3 ContRel:0 HostLocal:0 RackLocal:3 ,1
301fe861,Opening proxy : MININT-FNANLI5.fareast.corp.microsoft.com:52368 ,2
dd1fdda5,Shuffle port returned by ContainerManager for attempt_1445144423722_0020_m_000002_0 : 13562 ,1
1c54d681,<*> TaskAttempt <*> <*> <*> to <*> ,8
8ccc9b30,"getResources ( ) for application_1445144423722_0020 : ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit= < memory:1024 , vCores : -26 > knownNMs=4 ",1
d88d7dc1,"Recalculating schedule , headroom= < memory:1024 , vCores : -26 > ",3
351566b9,Auth successful for job_1445144423722_0020 ( auth : SIMPLE ) ,10
cd27dc8c,JVM with ID : <*> asked for a task ,4
6726166a,JVM with ID : <*> given task : <*> ,7
4a7adf2e,"Recalculating schedule , headroom= < memory:0 , vCores : -27 > ",121
691eead8,JVM with ID : <*> given task : attempt_1445144423722_0020_m_000001_0 ,1
ba80185e,JVM with ID : jvm_1445144423722_0020_m_000004 asked for a task ,1
d3c57150,<*> <*> <*> <*> <*> <*> . <*> <*> ,14
7b37db97,Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.023958297 ,1
