LineId,Time,Component,Pid,Content,EventId,EventTemplate
1,20171223-22:15:29:606,Step_LSC,30002312,onStandStepChanged 3579,621ffb6e,onStandStepChanged <*> 
2,20171223-22:15:29:615,Step_LSC,30002312,onExtend:1514038530000 14 0 4,f75d64aa,<*> <*> 0 4 
3,20171223-22:15:29:633,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_ON,29691865,onReceive action: android.intent.action.SCREEN_ON 
4,20171223-22:15:29:635,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,50e8fc3f,processHandleBroadcastAction action:android.intent.action.SCREEN_ON 
5,20171223-22:15:29:635,Step_StandStepCounter,30002312,flush sensor data,40b016a1,flush sensor data 
6,20171223-22:15:29:635,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,f1d0c179,getTodayTotalDetailSteps <*> 
7,20171223-22:15:29:636,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,69a87295,setTodayTotalDetailSteps <*> 
8,20171223-22:15:29:636,Step_LSC,30002312,onStandStepChanged 3579,621ffb6e,onStandStepChanged <*> 
9,20171223-22:15:29:645,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126775,f3d2c97e,calculateCaloriesWithCache totalCalories <*> 
10,20171223-22:15:29:648,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,1ef891b1,calculateAltitudeWithCache totalAltitude 240 
11,20171223-22:15:29:649,Step_StandReportReceiver,30002312,REPORT : 7007 5002 150089 240,e3c6f56b,REPORT : <*> <*> <*> 240 
12,20171223-22:15:29:737,Step_LSC,30002312,onExtend:1514038530000 0 0 4,5f9441e4,<*> 0 0 <*> 
13,20171223-22:15:29:738,Step_LSC,30002312,onStandStepChanged 3579,621ffb6e,onStandStepChanged <*> 
14,20171223-22:15:29:792,Step_LSC,30002312,onStandStepChanged 3580,621ffb6e,onStandStepChanged <*> 
15,20171223-22:15:29:800,Step_LSC,30002312,onExtend:1514038530000 1 0 4,882504b1,<*> 1 0 4 
16,20171223-22:15:29:950,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954,f1d0c179,getTodayTotalDetailSteps <*> 
17,20171223-22:15:29:950,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,69a87295,setTodayTotalDetailSteps <*> 
18,20171223-22:15:29:959,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126797,f3d2c97e,calculateCaloriesWithCache totalCalories <*> 
19,20171223-22:15:29:962,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,1ef891b1,calculateAltitudeWithCache totalAltitude 240 
20,20171223-22:15:29:962,Step_StandReportReceiver,30002312,REPORT : 7008 5003 150111 240,e3c6f56b,REPORT : <*> <*> <*> 240 
21,20171223-22:15:30:331,Step_LSC,30002312,onStandStepChanged 3581,621ffb6e,onStandStepChanged <*> 
22,20171223-22:15:30:335,Step_LSC,30002312,onExtend:1514038531000 1 0 4,882504b1,<*> 1 0 4 
23,20171223-22:15:30:632,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269,f1d0c179,getTodayTotalDetailSteps <*> 
24,20171223-22:15:30:632,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,69a87295,setTodayTotalDetailSteps <*> 
25,20171223-22:15:30:639,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126818,f3d2c97e,calculateCaloriesWithCache totalCalories <*> 
26,20171223-22:15:30:641,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,1ef891b1,calculateAltitudeWithCache totalAltitude 240 
27,20171223-22:15:30:642,Step_StandReportReceiver,30002312,REPORT : 7009 5004 150132 240,e3c6f56b,REPORT : <*> <*> <*> 240 
28,20171223-22:15:30:841,Step_LSC,30002312,onStandStepChanged 3583,621ffb6e,onStandStepChanged <*> 
29,20171223-22:15:30:858,Step_LSC,30002312,onExtend:1514038531000 2 0 4,f10ad78b,<*> 2 0 4 
30,20171223-22:15:31:142,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7009##548365##8661##12551##27174951,f1d0c179,getTodayTotalDetailSteps <*> 
31,20171223-22:15:31:143,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,69a87295,setTodayTotalDetailSteps <*> 
