EventId,EventTemplate,Occurrences
6e4d688e,onStandStepChanged 3579 ,3
f75d64aa,<*> <*> 0 4 ,8
1ce29865,onReceive action : android.intent.action.SCREEN_ON ,17
08788150,processHandleBroadcastAction action : android.intent.action.SCREEN_ON ,16
40b016a1,flush sensor data ,17
0cd3c528,getTodayTotalDetailSteps = 1514038440000 # # <*> # # 548365 # # 8661 # # <*> # # <*> ,32
f4c50a89,setTodayTotalDetailSteps=1514038440000 # # <*> # # 548365 # # 8661 # # <*> # # <*> ,33
a8185d1f,calculateCaloriesWithCache totalCalories=126775 ,1
f21bc3dc,calculateAltitudeWithCache totalAltitude=240 ,217
f4642ad8,REPORT : 7007 5002 150089 240 ,1
4157465a,onExtend:1514038530000 0 0 4 ,1
621ffb6e,onStandStepChanged <*> ,36
882504b1,<*> 1 0 4 ,14
7e8d9b5f,<*> <*> <*> # # <*> # # <*> # # 8661 # # <*> # # <*> ,9
f66ebaa4,calculateCaloriesWithCache <*> ,35
08dd19e2,REPORT : 7008 5003 150111 240 ,1
54982ede,onStandStepChanged 3581 ,1
555d3f5a,calculateCaloriesWithCache totalCalories=126818 ,1
12e435df,REPORT : 7009 5004 150132 240 ,1
ec538e72,onStandStepChanged 3583 ,1
ddee0d53,onExtend:1514038531000 2 0 4 ,1
248b4b80,calculateCaloriesWithCache totalCalories=126861 ,1
0a212c03,REPORT : 7011 5005 150175 240 ,1
dd35f867,onStandStepChanged 3584 ,1
c57e8d3c,onExtend:1514038532000 1 0 4 ,1
ec45d277,REPORT : 7012 5006 150197 240 ,1
b27faebd,onExtend:1514038533000 1 0 4 ,2
977a303c,calculateCaloriesWithCache totalCalories=126904 ,1
ba125dd7,REPORT : 7013 5007 150218 240 ,1
3e7e6f46,calculateCaloriesWithCache totalCalories=126925 ,1
bdd5e104,REPORT : 7014 5007 150239 240 ,1
192d9183,onStandStepChanged 3587 ,1
878cbe86,calculateCaloriesWithCache totalCalories=126947 ,1
5b27c115,REPORT : 7015 5008 150261 240 ,1
0e06a08c,onStandStepChanged 3588 ,1
f1fe9d2f,onExtend:1514038535000 1 0 4 ,2
40eee022,onReceive action : android.intent.action.SCREEN_OFF ,17
c58fe859,onStandStepChanged 3589 ,3
680c923a,calculateCaloriesWithCache totalCalories=126989 ,2
b5f8f0ab,<*> <*> ,18
7414bb1e,"<*> <*> <*> , <*> <*> <*> ",1
9ac01f55,REPORT : <*> 5010 <*> 240 ,3
a00bb326,processHandleBroadcastAction action : <*> ,1
6a3fd452,onExtend:1514038536000 0 0 4 ,1
492470a0,onExtend:1514038536000 1 0 4 ,2
addf5793,calculateCaloriesWithCache totalCalories=127011 ,1
208bd7bf,onStandStepChanged 3591 ,1
9f8ec8ea,REPORT : 7019 5011 150346 240 ,1
e3c6f56b,REPORT : <*> <*> <*> 240 ,21
ca0f5f4d,onExtend:1514038538000 1 0 4 ,2
36752023,onStandStepChanged 3594 ,1
c62a66a3,<*> # # <*> # # <*> # # 8661 # # <*> # # <*> ,8
baa2169b,onExtend:1514038539000 1 0 4 ,2
828f25fc,calculateCaloriesWithCache totalCalories=127118 ,1
bc1ce6c4,calculateCaloriesWithCache totalCalories=127139 ,1
315d9a1e,calculateCaloriesWithCache totalCalories=127161 ,1
9e514983,onStandStepChanged 3598 ,1
781fac8d,calculateCaloriesWithCache totalCalories=127182 ,1
e1653dc2,REPORT : 7026 5016 150496 240 ,1
a9ea61df,onStandStepChanged 3599 ,1
b7a84a2d,calculateCaloriesWithCache totalCalories=127204 ,1
353fee31,onStandStepChanged 3600 ,1
9fce51c4,onExtend:1514038542000 1 0 4 ,2
feb62e5a,calculateCaloriesWithCache totalCalories=127225 ,1
4a747828,onStandStepChanged 3601 ,1
ab1272e2,calculateCaloriesWithCache totalCalories=127246 ,1
7fbf61c2,REPORT : 7029 5018 150561 240 ,1
f4b3ff58,onStandStepChanged 3602 ,1
3a23be19,onExtend:1514038543000 1 0 4 ,1
30c13aff,calculateCaloriesWithCache totalCalories=127268 ,1
11491f62,onStandStepChanged 3603 ,1
5dac0388,getTodayTotalDetailSteps = <*> # # <*> # # <*> # # 8661 # # <*> # # <*> ,5
5685ebc7,calculateCaloriesWithCache totalCalories=127289 ,1
e28e53c2,onStandStepChanged 3604 ,1
41df6456,calculateCaloriesWithCache totalCalories=127311 ,1
593bcac8,onStandStepChanged 3605 ,1
e9b87dfb,onExtend:1514038545000 1 0 4 ,1
68066566,calculateCaloriesWithCache totalCalories=127332 ,1
d9f54b8a,<*> <*> <*> <*> <*> <*> ,7
65338287,onStandStepChanged 3606 ,1
f60e7010,calculateCaloriesWithCache totalCalories=127354 ,1
aa13bb86,onStandStepChanged 3607 ,1
54b0202d,calculateCaloriesWithCache totalCalories=127375 ,1
44706373,REPORT : 7035 5022 150689 240 ,1
23929684,onStandStepChanged 3608 ,1
705b2d67,calculateCaloriesWithCache totalCalories=127396 ,1
19dbb3c1,REPORT : 7036 5023 150711 240 ,1
f5d4231b,onStandStepChanged 3609 ,1
fb464a76,onExtend:1514038548000 1 0 4 ,2
c28ce19f,calculateCaloriesWithCache totalCalories=127418 ,1
0784a287,REPORT : 7037 5024 150732 240 ,1
d7b861a7,calculateCaloriesWithCache totalCalories=127439 ,1
dd4431cc,REPORT : 7038 5025 150753 240 ,1
cc31af0a,onExtend:1514038549000 1 0 4 ,1
4f581b1a,calculateCaloriesWithCache totalCalories=127461 ,1
3870306e,REPORT : 7039 5025 150775 240 ,1
68e27f9b,onExtend:1514038550000 1 0 4 ,2
cabe3317,calculateCaloriesWithCache totalCalories=127482 ,1
2c7e5f81,REPORT : 7040 5026 150796 240 ,1
19fa4f14,onStandStepChanged 3613 ,1
95b3dfed,setTodayTotalDetailSteps=1514038440000 # # 7041 # # 548365 # # 8661 # # 15496 # # 27194480 ,1
b6e8add0,calculateCaloriesWithCache totalCalories=127504 ,1
d9e5a5a7,REPORT : 7041 5027 150818 240 ,1
cbd6e501,onStandStepChanged 3614 ,1
e79966fb,getTodayTotalDetailSteps = 1514038440000 # # 7041 # # 548365 # # 8661 # # 15496 # # 27194480 ,1
1c953b19,calculateCaloriesWithCache totalCalories=127525 ,1
b5f6193c,<*> <*> <*> <*> ,12
6d5982c9,setTodayTotalDetailSteps=1514038440000 # # 7044 # # 548365 # # 8661 # # 15686 # # 27196480 ,1
2ec5d305,calculateCaloriesWithCache totalCalories=127568 ,1
33696950,REPORT : 7044 5029 150882 240 ,1
af2eeac4,onExtend:1514038553000 1 0 4 ,1
d508dddb,getTodayTotalDetailSteps = 1514038440000 # # 7044 # # 548365 # # 8661 # # 15686 # # 27196480 ,1
9b24cf7d,calculateCaloriesWithCache totalCalories=127589 ,1
cc72cddc,onExtend:1514038554000 2 0 4 ,1
04a7b61a,calculateCaloriesWithCache totalCalories=127632 ,1
0f9b343f,REPORT : 7047 5031 150946 240 ,1
6a655553,onStandStepChanged 3620 ,1
8b871b70,onExtend:1514038555000 1 0 4 ,1
69dddc5a,calculateCaloriesWithCache totalCalories=127653 ,1
bf823ee6,REPORT : 7048 5032 150968 240 ,1
440cbcf6,onStandStepChanged 3622 ,1
4021871b,onExtend:1514038556000 2 0 4 ,2
77e76761,calculateCaloriesWithCache totalCalories=127696 ,1
0d853d24,REPORT : 7050 5033 151011 240 ,1
cef7f65d,onStandStepChanged 3624 ,1
161c3a97,calculateCaloriesWithCache totalCalories=127739 ,1
ce2467b5,REPORT : 7052 5035 151053 240 ,1
99735318,onStandStepChanged 3625 ,1
6d7e3eb3,onExtend:1514038558000 1 0 4 ,1
68952c0a,<*> # # <*> # # <*> # # 8661 # # 16256 # # <*> ,24
f7f147e3,calculateCaloriesWithCache totalCalories=127761 ,1
12cc3425,REPORT : 7053 5035 151075 240 ,1
28a6c097,onStandStepChanged 3626 ,3
febc44ea,processHandleBroadcastAction action : android.intent.action.TIME_TICK ,144
fc8e24cb,getTodayTotalDetailSteps = <*> # # <*> # # <*> # # 8661 # # 16256 # # <*> ,20
849f5718,setTodayTotalDetailSteps=1514038500000 # # 7054 # # <*> # # 8661 # # 16256 # # <*> ,2
bb904996,calculateCaloriesWithCache totalCalories=127782 ,3
ff5c1e54,<*> 0 0 0 ,42
15c90344,onExtend:1514038639000 0 0 4 ,1
112c77a1,setTodayTotalDetailSteps=1514038560000 # # <*> # # <*> # # 8661 # # 16256 # # <*> ,32
a0959c35,onStandStepChanged 3628 ,1
a24d8a6a,onExtend:1514038641000 2 0 4 ,2
0f9ee1ce,getTodayTotalDetailSteps = 1514038560000 # # <*> # # <*> # # 8661 # # 16256 # # <*> ,19
ceb23398,calculateCaloriesWithCache totalCalories=127824 ,1
bc938a9c,onStandStepChanged 3630 ,1
9a29fe63,calculateCaloriesWithCache totalCalories=127867 ,1
0ea3b1dc,REPORT : 7058 5039 151182 240 ,1
5301ff53,onExtend:1514038642000 2 0 4 ,2
b6853abb,getTodayTotalDetailSteps = 1514038560000 # # 7058 # # 548554 # # 8661 # # 16256 # # 27285475 ,1
7e1d2fde,calculateCaloriesWithCache totalCalories=127910 ,1
960dca24,REPORT : 7060 5040 151225 240 ,1
49f5c314,onStandStepChanged 3634 ,1
101ad772,<*> <*> <*> # # <*> # # <*> # # 8661 # # 16256 # # <*> ,4
fccaefe0,calculateCaloriesWithCache totalCalories=127953 ,1
6ad90b2e,REPORT : 7062 5042 151268 240 ,1
8db11790,onStandStepChanged 3636 ,1
548edc5d,onExtend:1514038643000 2 0 4 ,2
1072c0ae,calculateCaloriesWithCache totalCalories=127996 ,1
c9ced196,REPORT : 7066 5045 151353 240 ,1
d51c7e92,onStandStepChanged 3640 ,1
5b55fc3c,onExtend:1514038644000 2 0 4 ,2
9508e71a,getTodayTotalDetailSteps = 1514038560000 # # 7066 # # 548558 # # 8661 # # 16256 # # 27287469 ,1
e0d0bbe4,REPORT : 7068 5046 151396 240 ,1
094c424c,calculateCaloriesWithCache totalCalories=128124 ,1
e2d18c5d,REPORT : 7070 5047 151439 240 ,1
d1c1ebb4,onStandStepChanged 3643 ,1
5d257b11,onExtend:1514038645000 1 0 4 ,1
f93b2564,REPORT : 7071 5048 151460 240 ,1
08a06596,onStandStepChanged 3646 ,2
c4269ca7,onExtend:1514038645000 3 0 4 ,1
61f399f3,calculateCaloriesWithCache totalCalories=128210 ,2
354abf01,REPORT : 7074 5050 151525 240 ,1
aa78075f,onStandStepChanged 3647 ,1
e8fb14c9,onExtend:1514038665000 1 0 4 ,1
36f24f9c,calculateCaloriesWithCache totalCalories=128231 ,1
36555629,onStandStepChanged 3649 ,1
403ea598,calculateCaloriesWithCache totalCalories=128274 ,1
62af6554,REPORT : 7077 5052 151589 240 ,1
fe362e1d,onStandStepChanged 3651 ,1
e1a89f63,calculateCaloriesWithCache totalCalories=128317 ,1
a27c38ed,REPORT : 7079 5054 151632 240 ,1
feed43a0,onStandStepChanged 3653 ,1
ee16bf60,onExtend:1514038667000 2 0 4 ,2
3fe94d5a,calculateCaloriesWithCache totalCalories=128360 ,1
06e560b8,onStandStepChanged 3655 ,1
d11254ca,calculateCaloriesWithCache totalCalories=128403 ,1
1234f7be,REPORT : 7083 5057 151717 240 ,1
6b79c5cf,onStandStepChanged 3656 ,1
38aa71e6,onExtend:1514038668000 1 0 4 ,1
9a441e38,calculateCaloriesWithCache totalCalories=128424 ,1
6fc80283,REPORT : 7084 5057 151739 240 ,1
a4e009f3,onStandStepChanged 3658 ,1
0130e424,REPORT : 7086 5059 151782 240 ,1
e19769f5,onStandStepChanged 3660 ,1
56b33910,onExtend:1514038669000 2 0 4 ,2
5cd0910b,calculateCaloriesWithCache totalCalories=128510 ,1
f7538c9e,REPORT : 7088 5060 151824 240 ,1
4bc37dce,onStandStepChanged 3662 ,1
8fc2712e,calculateCaloriesWithCache totalCalories=128553 ,1
c3320c73,REPORT : 7090 5062 151867 240 ,1
f10e89c8,onExtend:1514038670000 2 0 4 ,2
7e8a8ab1,calculateCaloriesWithCache totalCalories=128595 ,1
53cc725c,REPORT : 7092 5063 151910 240 ,1
d0aaa805,onStandStepChanged 3666 ,1
b6e10134,REPORT : 7094 5065 151953 240 ,1
69982f92,onStandStepChanged 3667 ,1
e9eef894,onExtend:1514038671000 1 0 4 ,1
f4771a1a,calculateCaloriesWithCache totalCalories=128660 ,1
3ba564c7,REPORT : 7095 5065 151974 240 ,1
5389b200,onStandStepChanged 3669 ,1
d4786c13,onExtend:1514038671000 2 0 4 ,1
b7f3d2ce,calculateCaloriesWithCache totalCalories=128703 ,1
c1ea38c4,REPORT : 7097 5067 152017 240 ,1
f4fee3e4,onExtend:1514038672000 2 0 4 ,2
64b3dcf3,calculateCaloriesWithCache totalCalories=128745 ,1
96337066,REPORT : 7099 5068 152060 240 ,1
2dc50f05,onStandStepChanged 3673 ,1
0d1d58d2,getTodayTotalDetailSteps = 1514038560000 # # 7099 # # 548577 # # 8661 # # 16256 # # 27315983 ,1
8d5431ae,calculateCaloriesWithCache totalCalories=128788 ,1
abab76b3,REPORT : 7101 5070 152103 240 ,1
2ae3bbdb,onStandStepChanged 3674 ,1
15a0c540,calculateCaloriesWithCache totalCalories=128810 ,1
7c98970b,REPORT : 7102 5070 152124 240 ,1
0844038e,onStandStepChanged 3675 ,1
3bee5e5c,onExtend:1514038674000 1 0 4 ,1
6b0d1248,REPORT : 7103 5071 152146 240 ,1
4f310f8c,onStandStepChanged 3676 ,1
d49ffb15,onExtend:1514038675000 1 0 4 ,1
c1229e8e,calculateCaloriesWithCache totalCalories=128853 ,1
e39436d2,REPORT : 7104 5072 152167 240 ,1
ccb5592d,onStandStepChanged 3677 ,1
6d8221ad,onExtend:1514038676000 1 0 4 ,1
06909db1,calculateCaloriesWithCache totalCalories=128874 ,1
7c792c38,REPORT : 7105 5072 152189 240 ,1
830d9453,onStandStepChanged 3678 ,1
c352043a,onExtend:1514038677000 1 0 4 ,1
6c15aef9,calculateCaloriesWithCache totalCalories=128895 ,1
7cd8851f,REPORT : 7106 5073 152210 240 ,1
cc44a8d7,onStandStepChanged 3679 ,1
c72034bb,onExtend:1514038678000 1 0 4 ,1
98ce3a0b,getTodayTotalDetailSteps = 1514038560000 # # 7106 # # 548583 # # 8661 # # 16256 # # 27320969 ,1
60cb7c15,REPORT : 7107 5074 152231 240 ,1
1d479060,onExtend:1514038678000 2 0 4 ,1
9fa9c19b,getTodayTotalDetailSteps = 1514038560000 # # 7107 # # 548584 # # 8661 # # 16256 # # 27321969 ,1
b6930a63,calculateCaloriesWithCache totalCalories=128960 ,1
39b9fe0b,REPORT : 7109 5075 152274 240 ,1
141aa956,onStandStepChanged 3683 ,1
f73d2f54,onExtend:1514038680000 2 0 4 ,1
0c1fe5ea,setTodayTotalDetailSteps=1514038620000 # # <*> # # <*> # # 8661 # # 16256 # # <*> ,5
31c6d685,REPORT : 7111 5077 152317 240 ,1
7c334162,onStandStepChanged 3684 ,1
b6154ce0,onExtend:1514038682000 1 0 4 ,1
b59182b1,getTodayTotalDetailSteps = 1514038620000 # # <*> # # <*> # # 8661 # # 16256 # # <*> ,5
f64aa0ba,REPORT : 7112 5077 152339 240 ,1
806cdf02,REPORT : 7113 5078 152360 240 ,1
00d24a9e,onExtend:1514038686000 1 0 4 ,1
d68cd0b0,REPORT : 7114 5079 152381 240 ,1
0d665e21,onExtend:1514038686000 0 0 0 ,1
857d9f95,onStandStepChanged 3689 ,1
9b49d16b,onExtend:1514038748000 3 0 4 ,1
16a3ec6b,setTodayTotalDetailSteps=1514038680000 # # <*> # # <*> # # 8661 # # 16256 # # <*> ,6
c6891e1d,onStandStepChanged 3694 ,1
55d01140,onExtend:1514038749000 5 0 4 ,1
86ec6a6b,getTodayTotalDetailSteps = 1514038680000 # # <*> # # <*> # # 8661 # # 16256 # # <*> ,13
4351b68e,calculateCaloriesWithCache totalCalories=129238 ,1
69e166e2,REPORT : 7122 5085 152553 240 ,1
02d162e0,onStandStepChanged 3696 ,1
ec3d3411,onExtend:1514038749000 2 0 4 ,1
e639d0a1,onStandStepChanged 3698 ,1
61d4eada,onExtend:1514038750000 2 0 4 ,2
a6ea655c,calculateCaloriesWithCache totalCalories=129324 ,1
ef7d355f,onStandStepChanged 3700 ,1
5197cc6b,calculateCaloriesWithCache totalCalories=129366 ,1
2a684398,REPORT : 7128 5089 152681 240 ,1
6b72da17,onStandStepChanged 3702 ,1
559e3be4,onExtend:1514038751000 2 0 4 ,2
f74d94ee,calculateCaloriesWithCache totalCalories=129409 ,1
8e17b808,REPORT : 7130 5090 152724 240 ,1
4ef48b0e,onStandStepChanged 3704 ,1
8599d8d9,REPORT : 7132 5092 152767 240 ,1
28859178,onStandStepChanged 3707 ,1
3e19bd33,onExtend:1514038752000 3 0 4 ,1
aa0c30cb,calculateCaloriesWithCache totalCalories=129516 ,1
86f025ba,REPORT : 7135 5094 152831 240 ,1
939b23e5,onStandStepChanged 3711 ,1
1aa6d156,onExtend:1514038752000 4 0 4 ,1
