LineId,Month,Date,Time,User,Component,PID,Address,Content,EventId,EventTemplate
1,Jul,1,09:00:55,calvisitor-10-105-160-95,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,ee3e81a2,<*> <*> Thunderbolt HPD packet for route <*> port <*> unplug <*> 
2,Jul,1,09:01:05,calvisitor-10-105-160-95,com.apple.CDScheduler,43,,Thermal pressure state: 1 Memory pressure state: 0,84fe619a,Thermal pressure <*> <*> Memory pressure <*> <*> 
3,Jul,1,09:01:06,calvisitor-10-105-160-95,QQ,10018,,FA||Url||taskID[2019352994] dealloc,b5f8f0ab,<*> <*> 
4,Jul,1,09:02:26,calvisitor-10-105-160-95,kernel,0,,ARPT: 620701.011328: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],b5f6193c,<*> <*> <*> <*> 
5,Jul,1,09:02:26,authorMacBook-Pro,kernel,0,,ARPT: 620702.879952: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],b5f6193c,<*> <*> <*> <*> 
6,Jul,1,09:03:11,calvisitor-10-105-160-95,mDNSResponder,91,,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),3908b381,<*> <*> <*> <*> <*> <*> <*> 
7,Jul,1,09:03:13,calvisitor-10-105-160-95,kernel,0,,"ARPT: 620749.901374: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,",2b0a014b,<*> <*> <*> <*> <*> <*> Normal <*> <*> <*> <*> <*> 
8,Jul,1,09:04:33,calvisitor-10-105-160-95,kernel,0,,"ARPT: 620750.434035: wl0: wl_update_tcpkeep_seq: Original Seq: 3226706533, Ack: 3871687177, Win size: 4096",1206d53a,<*> <*> <*> <*> <*> <*> <*> <*> <*> Win <*> <*> 
9,Jul,1,09:04:33,authorMacBook-Pro,kernel,0,,ARPT: 620752.337198: ARPT: Wake Reason: Wake on Scan offload,1203d492,<*> <*> <*> Wake <*> Wake on Scan offload 
10,Jul,1,09:04:37,authorMacBook-Pro,symptomsd,215,,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,15d59477,<*> <*> unexpected switch value <*> 
11,Jul,1,09:12:20,authorMacBook-Pro,kernel,0,,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,34558200,<*> Resuming AWDL 
12,Jul,1,09:12:21,calvisitor-10-105-160-95,symptomsd,215,,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,15d59477,<*> <*> unexpected switch value <*> 
13,Jul,1,09:18:16,calvisitor-10-105-160-95,kernel,0,,"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs",70556bd7,<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> 
14,Jul,1,09:19:03,calvisitor-10-105-160-95,kernel,0,,AppleCamIn::systemWakeCall - messageType = 0xE0000340,b5f6193c,<*> <*> <*> <*> 
15,Jul,1,09:19:03,authorMacBook-Pro,configd,53,,"setting hostname to ""authorMacBook-Pro.local""",130ecca0,setting <*> to <*> 
16,Jul,1,09:19:13,calvisitor-10-105-160-95,com.apple.cts,258,,"<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 439034 seconds.  Ignoring.",e59097b4,<*> <*> told me to run this <*> <*> but the start time isn't for <*> <*> <*> 
17,Jul,1,09:21:57,authorMacBook-Pro,corecaptured,31174,,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,538a12da,<*> streams <*> 
18,Jul,1,09:21:58,calvisitor-10-105-160-95,com.apple.WebKit.WebContent,25654,,[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,486230d5,<*> <*> CRABS <*> <*> <*> Byte flume reports host available <*> 
19,Jul,1,09:22:02,calvisitor-10-105-160-95,com.apple.cts,258,,"<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2450 seconds.  Ignoring.",e59097b4,<*> <*> told me to run this <*> <*> but the start time isn't for <*> <*> <*> 
