EventId,EventTemplate,Occurrences
d54fee4b,<*> < 0 > ( 0x0 ) : <*> - <*> <*> <*> for <*> = 0x0 <*> = <*> <*> = 0 ,36
e3fdeca7,<*> pressure state : 1 <*> pressure state : 0 ,19
ce6c2965,<*> [ <*> ] <*> ,17
decb781e,ARPT : <*> : AirPort_Brcm43xx : <*> : WWEN [ <*> ] ,12
5496dbfd,ARPT : <*> : AirPort_Brcm43xx : :platformWoWEnable : WWEN [ <*> ] ,28
edd31701,<*> : <*> <*> for <*> <*> ( <*> : <*> : <*> ) ,6
8b30cd54,"ARPT : <*> : <*> <*> : <*> , <*> : <*> Sleep , <*> ' : <*> , <*> ' : <*> , ",18
80c670c7,"ARPT : <*> : wl0 : <*> : <*> <*> : <*> , <*> : <*> , <*> <*> : <*> ",6
0572953f,ARPT : <*> : ARPT : Wake <*> : Wake <*> <*> <*> ,11
47bf8f24,<*> [ <*> <*> : <*> : <*> : <*> : ] <*> <*> <*> <*> <*> ,16
3b198f2a,<*> : <*> <*> <*> ,41
c2589cb2,"ARPT : <*> : wl0 : MDNS : <*> <*> <*> , <*> <*> <*> ",9
2e2aa2e6,AppleCamIn : :systemWakeCall - messageType = 0xE0000340 ,53
dcfa4e17,<*> <*> to <*> <*> '' ,7
b37c6784,"com.apple.icloud.fmfd.heartbeat : scheduler_evaluate_activity told me to run this job ; however , but the start time is n't for <*> seconds . Ignoring . ",45
ae5025bb,[ <*> ] < < < < <*> > > > > <*> : [ <*> ] <*> <*> <*> <*> <*> <*> . ,3
ba7e27d9,"com.apple.Safari.SafeBrowsing.Update : scheduler_evaluate_activity told me to run this job ; however , but the start time is n't for <*> seconds . Ignoring . ",35
f52b4189,<*> : <*> <*> on <*> . <*> 1 ( <*> ) . ,7
f1ff4e7f,"PM response took <*> ms ( 54 , powerd ) ",9
108ea891,"<*> : <*> : <*> : <*> <*> <*> <*> , <*> # <*> , <*> <*> , <*> <*> <*> ",1
4b347ff7,<*> <*> <*> <*> <*> from <*> to <*> ,15
1972ebc6,"com.apple.EscrowSecurityAlert.daily : scheduler_evaluate_activity told me to run this job ; however , but the start time is n't for <*> seconds . Ignoring . ",24
94e5b105,"<*> : <*> ( ) <*> <*> , <*> ( <*> ) ",11
3466640f,"<*> : <*> <*> <*> <*> , <*> <*> <*> <*> ",1
