EventId,EventTemplate,Occurrences
f4f8d517,reverse mapping checking getaddrinfo for < * > [ < * > ] failed - POSSIBLE BREAK-IN ATTEMPT ! ,76
28ad797e,Invalid user webmaster from < * > ,2
853de080,input_userauth_request : invalid user <*> [ preauth ] ,12
ef536fc0,pam_unix ( sshd : auth ) : check pass ; user unknown ,135
073d0f01,pam_unix ( sshd : auth ) : authentication failure ; logname= uid=0 euid=0 tty=ssh ruser= rhost= < * > ,110
891e7fdb,Failed password for invalid user webmaster from < * > port 38926 ssh2 ,1
51a01b5f,<*> <*> <*> < * > [ preauth ] ,6
3ece16eb,Connection closed by < * > [ preauth ] ,28
94af1d59,Invalid user test9 from < * > ,1
dd281c07,input_userauth_request : invalid user test9 [ preauth ] ,1
ac422515,Failed password for invalid user test9 from < * > port 36060 ssh2 ,1
00748c5a,Received disconnect from < * > : 11 : Bye Bye [ preauth ] ,413
24fb4184,Failed password for invalid user webmaster from < * > port 39257 ssh2 ,1
1e4a62da,Invalid user chen from < * > ,1
45151a1f,input_userauth_request : invalid user chen [ preauth ] ,1
8e99d1b4,Failed password for invalid user chen from < * > port 32484 ssh2 ,1
76f3041d,pam_unix ( sshd : auth ) : authentication failure ; logname= uid=0 euid=0 tty=ssh ruser= rhost= < * > user=root ,369
00e26fc3,Failed password for root from < * > port 42393 ssh2 ,1
d3df7e20,message repeated 5 times : [ Failed password for root from < * > port 42393 ssh2 ] ,1
877cc612,Disconnecting : Too many authentication failures for root [ preauth ] ,2
8069224c,PAM 5 more authentication failures ; logname= uid=0 euid=0 tty=ssh ruser= rhost= < * > user=root ,2
cdf1cff7,PAM service ( sshd ) ignoring max retries ; 6 > 3 ,3
4b1ce46a,Failed password for root from < * > port 45378 ssh2 ,1
5d130b71,Failed password for root from < * > port 47068 ssh2 ,1
e5286048,Failed password for root from < * > port 49188 ssh2 ,1
82597997,Failed password for root from < * > port 50999 ssh2 ,1
db38c5ac,Failed password for root from < * > port 52660 ssh2 ,1
b7773350,Invalid user pgadmin from < * > ,1
59c70edb,input_userauth_request : invalid user pgadmin [ preauth ] ,1
d8e45db9,Failed password for invalid user pgadmin from < * > port 54087 ssh2 ,1
5975f3a6,Failed password for root from < * > port 55618 ssh2 ,1
cec846b3,Failed password for root from < * > port 57138 ssh2 ,1
6417a769,Failed password for root from < * > port 58304 ssh2 ,1
ed8d4d73,Failed password for root from < * > port 59849 ssh2 ,1
81471a67,Failed password for root from < * > port 32977 ssh2 ,1
5d12df25,Failed password for root from < * > port 35113 ssh2 ,2
0c76c58e,Failed password for root from < * > port 37035 ssh2 ,1
6d8fe900,Failed password for root from < * > port 39041 ssh2 ,1
