EventId,EventTemplate,Occurrences
70556bd7,<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,1015
ceb1c59b,<*> <*> VM Started <*> <*> ,22
c6c5119d,<*> <*> VM Paused <*> <*> ,22
f79c8566,<*> <*> During <*> the instance has a pending task <*> <*> ,43
63041c33,image <*> at <*> checking ,82
03025324,image <*> at <*> in <*> on this node <*> <*> <*> on other nodes sharing this instance storage ,82
d04748b6,Active base <*> <*> ,82
99d68af5,Creating event <*> for instance <*> ,22
428d2ad0,<*> <*> VM Resumed <*> <*> ,44
203156b6,<*> <*> Instance spawned <*> ,22
98f3e740,<*> <*> Took <*> seconds to spawn the instance on the <*> ,22
588ff3f7,<*> <*> Took <*> seconds to build <*> ,22
10894a10,Auditing locally available compute resources for node <*> ,15
3369ec2d,Total usable <*> <*> total allocated <*> <*> ,15
4d8a9e62,Final resource <*> name <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,15
56d801ab,<*> record updated for <*> ,15
875d2ad6,<*> <*> Terminating instance ,22
24ee4c75,<*> <*> Instance destroyed <*> ,22
3afa46f3,<*> <*> Deleting instance files <*> ,21
e1af2eb7,<*> <*> Deletion of <*> complete ,21
96f0637f,<*> <*> Took <*> seconds to destroy the instance on the <*> ,21
2c86d4c8,<*> <*> Took <*> seconds to deallocate network for <*> ,21
6a6c9729,Unknown base <*> <*> ,30
df93f62e,Removable base <*> <*> ,30
4405285f,Removing base or swap <*> <*> ,21
f6d4e86f,HTTP exception <*> No instances found for any event ,21
f7f08c5e,<*> <*> Attempting <*> memory <*> <*> disk <*> <*> <*> <*> CPU ,21
b70fdb57,<*> <*> Total <*> <*> <*> <*> <*> MB ,21
ffbe0b78,<*> <*> memory <*> <*> <*> <*> <*> MB ,21
4cf99c17,<*> <*> Total <*> <*> <*> <*> <*> GB ,21
58c10499,<*> <*> disk limit not <*> defaulting to unlimited ,21
067e80cb,<*> <*> Total <*> <*> <*> <*> <*> <*> ,21
83c898a6,<*> <*> <*> limit not <*> defaulting to unlimited ,21
aedb80a4,<*> <*> Claim successful ,21
e1924c67,<*> <*> Creating image ,21
c0fad8b2,<*> <*> VM Stopped <*> <*> ,21
1aa9e27c,Successfully synced instances from host <*> ,2
73758b07,<*> <*> <*> <*> for <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,1
92aed856,Base or swap file too young to <*> <*> ,9
e39149bc,<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,1
11b3c859,The instance sync for host <*> did not <*> <*> its <*> ,5
99c03aaf,<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,1
fb118e27,<*> <*> instance <*> <*> <*> <*> <*> <*> the <*> <*> <*> <*> <*> the <*> ,1
