LineId,Date,Time,Level,Component,Content,EventId,EventTemplate
1,17/06/09,20:10:40,INFO,executor.CoarseGrainedExecutorBackend,"Registered signal handlers for [TERM, HUP, INT]",c113eba4,Registered signal handlers for <*> <*> <*> 
2,17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi",70414626,Changing view acls <*> <*> 
3,17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi",8149903b,Changing modify acls <*> <*> 
4,17/06/09,20:10:40,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",a3ff580e,<*> authentication <*> ui acls <*> users with view <*> <*> <*> users with modify <*> <*> <*> 
5,17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi",70414626,Changing view acls <*> <*> 
6,17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi",8149903b,Changing modify acls <*> <*> 
7,17/06/09,20:10:41,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",a3ff580e,<*> authentication <*> ui acls <*> users with view <*> <*> <*> users with modify <*> <*> <*> 
8,17/06/09,20:10:41,INFO,slf4j.Slf4jLogger,Slf4jLogger started,91d6421e,<*> started 
9,17/06/09,20:10:41,INFO,Remoting,Starting remoting,a92c907f,Starting <*> 
10,17/06/09,20:10:41,INFO,Remoting,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],4d584075,<*> <*> listening on addresses <*> 
11,17/06/09,20:10:41,INFO,util.Utils,Successfully started service 'sparkExecutorActorSystem' on port 55904.,17940bf6,Successfully started service <*> on port <*> 
12,17/06/09,20:10:41,INFO,storage.DiskBlockManager,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,8b7e4067,Created local directory at <*> 
13,17/06/09,20:10:41,INFO,storage.MemoryStore,MemoryStore started with capacity 17.7 GB,73db29ad,<*> started with capacity <*> GB 
14,17/06/09,20:10:42,INFO,executor.CoarseGrainedExecutorBackend,Connecting to driver: spark://CoarseGrainedScheduler@<*>:48069,8e8eda3c,Connecting to <*> <*> 
15,17/06/09,20:10:42,INFO,executor.CoarseGrainedExecutorBackend,Successfully registered with driver,4b6620a4,Successfully registered with driver 
16,17/06/09,20:10:42,INFO,executor.Executor,Starting executor ID 5 on host mesos-slave-07,31b92d9b,Starting executor ID <*> on host <*> 
17,17/06/09,20:10:42,INFO,util.Utils,Successfully started service '<*>' on port 40984.,17940bf6,Successfully started service <*> on port <*> 
18,17/06/09,20:10:42,INFO,netty.NettyBlockTransferService,Server created on 40984,2fb81371,Server created on <*> 
19,17/06/09,20:10:42,INFO,storage.BlockManagerMaster,Trying to register BlockManager,a4479384,Trying to register <*> 
20,17/06/09,20:10:42,INFO,storage.BlockManagerMaster,Registered BlockManager,2cbce655,Registered <*> 
21,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 0,12fd741a,Got assigned task <*> 
22,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 1,12fd741a,Got assigned task <*> 
23,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 2,12fd741a,Got assigned task <*> 
24,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 3,12fd741a,Got assigned task <*> 
25,17/06/09,20:10:45,INFO,executor.Executor,Running task 0.0 in stage 0.0 (TID 0),21b970a3,Running task <*> in stage <*> <*> <*> 
26,17/06/09,20:10:45,INFO,executor.Executor,Running task 2.0 in stage 0.0 (TID 2),21b970a3,Running task <*> in stage <*> <*> <*> 
27,17/06/09,20:10:45,INFO,executor.Executor,Running task 1.0 in stage 0.0 (TID 1),21b970a3,Running task <*> in stage <*> <*> <*> 
28,17/06/09,20:10:45,INFO,executor.Executor,Running task 3.0 in stage 0.0 (TID 3),21b970a3,Running task <*> in stage <*> <*> <*> 
29,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 4,12fd741a,Got assigned task <*> 
30,17/06/09,20:10:45,INFO,executor.Executor,Running task 4.0 in stage 0.0 (TID 4),21b970a3,Running task <*> in stage <*> <*> <*> 
31,17/06/09,20:10:45,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 9,b3dbffba,Started reading broadcast variable <*> 
32,17/06/09,20:10:45,INFO,storage.MemoryStore,"Block broadcast_9_piece0 stored as bytes in memory (estimated size 5.2 KB, free 5.2 KB)",40702cc8,Block <*> stored as bytes in memory <*> size <*> <*> free <*> <*> 
33,17/06/09,20:10:45,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 9 took 160 ms,1a372bdf,Reading broadcast variable <*> took <*> ms 
34,17/06/09,20:10:46,INFO,storage.MemoryStore,"Block broadcast_9 stored as values in memory (estimated size 8.8 KB, free 14.0 KB)",e2f64f99,Block <*> stored as values in memory <*> size <*> <*> free <*> <*> 
35,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_1 not found, computing it",e0243440,Partition <*> not <*> computing it 
36,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_3 not found, computing it",e0243440,Partition <*> not <*> computing it 
37,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_0 not found, computing it",e0243440,Partition <*> not <*> computing it 
38,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_2 not found, computing it",e0243440,Partition <*> not <*> computing it 
39,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_4 not found, computing it",e0243440,Partition <*> not <*> computing it 
40,17/06/09,20:10:46,INFO,rdd.HadoopRDD,Input split: hdfs://<*>:9000/pjhe/logs/2kSOSP.log:21876+7292,ff9d7748,Input <*> <*> 
41,17/06/09,20:10:46,INFO,rdd.HadoopRDD,Input split: hdfs://<*>:9000/pjhe/logs/2kSOSP.log:14584+7292,ff9d7748,Input <*> <*> 
42,17/06/09,20:10:46,INFO,rdd.HadoopRDD,Input split: hdfs://<*>:9000/pjhe/logs/2kSOSP.log:0+7292,ff9d7748,Input <*> <*> 
43,17/06/09,20:10:46,INFO,rdd.HadoopRDD,Input split: hdfs://<*>:9000/pjhe/logs/2kSOSP.log:7292+7292,ff9d7748,Input <*> <*> 
44,17/06/09,20:10:46,INFO,rdd.HadoopRDD,Input split: hdfs://<*>:9000/pjhe/logs/2kSOSP.log:29168+7292,ff9d7748,Input <*> <*> 
45,17/06/09,20:10:46,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 8,b3dbffba,Started reading broadcast variable <*> 
46,17/06/09,20:10:46,INFO,storage.MemoryStore,"Block broadcast_8_piece0 stored as bytes in memory (estimated size 21.4 KB, free 35.4 KB)",40702cc8,Block <*> stored as bytes in memory <*> size <*> <*> free <*> <*> 
47,17/06/09,20:10:46,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 8 took 19 ms,1a372bdf,Reading broadcast variable <*> took <*> ms 
48,17/06/09,20:10:46,INFO,storage.MemoryStore,"Block broadcast_8 stored as values in memory (estimated size 281.6 KB, free 317.0 KB)",e2f64f99,Block <*> stored as values in memory <*> size <*> <*> free <*> <*> 
49,17/06/09,20:10:47,INFO,Configuration.deprecation,"<*> is deprecated. Instead, use <*>",0daee8e0,<*> is <*> <*> use <*> 
50,17/06/09,20:10:47,INFO,Configuration.deprecation,"<*> is deprecated. Instead, use <*>",0daee8e0,<*> is <*> <*> use <*> 
51,17/06/09,20:10:47,INFO,Configuration.deprecation,"<*> is deprecated. Instead, use <*>",0daee8e0,<*> is <*> <*> use <*> 
52,17/06/09,20:10:47,INFO,Configuration.deprecation,"<*> is deprecated. Instead, use <*>",0daee8e0,<*> is <*> <*> use <*> 
53,17/06/09,20:10:47,INFO,Configuration.deprecation,"<*> is deprecated. Instead, use <*>",0daee8e0,<*> is <*> <*> use <*> 
54,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 0,b3dbffba,Started reading broadcast variable <*> 
55,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_0_piece0 stored as bytes in memory (estimated size 93.0 B, free 317.1 KB)",40702cc8,Block <*> stored as bytes in memory <*> size <*> <*> free <*> <*> 
56,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 0 took 21 ms,1a372bdf,Reading broadcast variable <*> took <*> ms 
57,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_0 stored as values in memory (estimated size 384.0 B, free 317.5 KB)",e2f64f99,Block <*> stored as values in memory <*> size <*> <*> free <*> <*> 
58,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 4,b3dbffba,Started reading broadcast variable <*> 
59,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_4_piece0 stored as bytes in memory (estimated size 95.0 B, free 317.6 KB)",40702cc8,Block <*> stored as bytes in memory <*> size <*> <*> free <*> <*> 
60,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 4 took 18 ms,1a372bdf,Reading broadcast variable <*> took <*> ms 
61,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_4 stored as values in memory (estimated size 384.0 B, free 318.0 KB)",e2f64f99,Block <*> stored as values in memory <*> size <*> <*> free <*> <*> 
62,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 3,b3dbffba,Started reading broadcast variable <*> 
63,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_3_piece0 stored as bytes in memory (estimated size 152.0 B, free 318.1 KB)",40702cc8,Block <*> stored as bytes in memory <*> size <*> <*> free <*> <*> 
64,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 3 took 17 ms,1a372bdf,Reading broadcast variable <*> took <*> ms 
65,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_3 stored as values in memory (estimated size 384.0 B, free 318.5 KB)",e2f64f99,Block <*> stored as values in memory <*> size <*> <*> free <*> <*> 
