EventId,EventTemplate,Occurrences
c113eba4,Registered signal handlers for <*> <*> <*> ,1
70414626,Changing view acls <*> <*> ,2
8149903b,Changing modify acls <*> <*> ,2
a3ff580e,<*> authentication <*> ui acls <*> users with view <*> <*> <*> users with modify <*> <*> <*> ,2
91d6421e,<*> started ,1
a92c907f,Starting <*> ,1
4d584075,<*> <*> listening on addresses <*> ,1
17940bf6,Successfully started service <*> on port <*> ,2
8b7e4067,Created local directory at <*> ,1
73db29ad,<*> started with capacity <*> GB ,1
8e8eda3c,Connecting to <*> <*> ,1
4b6620a4,Successfully registered with driver ,1
31b92d9b,Starting executor ID <*> on host <*> ,1
2fb81371,Server created on <*> ,1
a4479384,Trying to register <*> ,1
2cbce655,Registered <*> ,1
12fd741a,Got assigned task <*> ,305
21b970a3,Running task <*> in stage <*> <*> <*> ,305
b3dbffba,Started reading broadcast variable <*> ,37
40702cc8,Block <*> stored as bytes in memory <*> size <*> <*> free <*> <*> ,112
1a372bdf,Reading broadcast variable <*> took <*> ms ,37
e2f64f99,Block <*> stored as values in memory <*> size <*> <*> free <*> <*> ,37
e0243440,Partition <*> not <*> computing it ,75
ff9d7748,Input <*> <*> ,45
0daee8e0,<*> is <*> <*> use <*> ,5
da937413,<*> total <*> boot <*> init <*> finish <*> ,375
e00d2269,Finished task <*> in stage <*> <*> <*> <*> bytes result sent to driver ,300
2b0c5524,Found block <*> locally ,257
dd093e24,File Output Committer Algorithm version is <*> ,30
0ca0d2ad,Saved output of task <*> to <*> ,30
4c0a756a,<*> Committed ,30
