EventId,EventTemplate,Occurrences
44d5e863,session closed for user root ,24
39fd777e,session opened for user root by ( uid=0 ) ,18
72d0e4c6,( root ) CMD ( run-parts /etc/cron.hourly ) ,14
698fc4d9,data_thread ( ) got not answer from any [ Thunderbird_A8 ] datasource ,31
a9d501c4,data_thread ( ) got not answer from any [ Thunderbird_B8 ] datasource ,31
7a5ba16b,data_thread ( ) got not answer from any [ <*> ] datasource ,140
a5a4f345,"synchronized to 10.100.20.250 , stratum 3 ",181
f777b7a9,"synchronized to 10.100.28.250 , stratum 3 ",34
1dbf9809,"synchronized to 10.100.24.250 , stratum 3 ",17
12f56f96,data_thread ( ) got not answer from any [ Thunderbird_B7 ] datasource ,22
bc59cd8b,"synchronized to 10.100.16.250 , stratum 3 ",77
a113a8a0,data_thread ( ) got not answer from any [ Thunderbird_A4 ] datasource ,20
87456e62,data_thread ( ) got not answer from any [ Thunderbird_B4 ] datasource ,25
1a4d0f6e,data_thread ( ) got not answer from any [ Thunderbird_C8 ] datasource ,23
9a5bcfb8,"synchronized to 10.100.18.250 , stratum 3 ",82
354f0fd3,[ <*> ] : * * * * * * * * * * * * * * * * * * * * * * <*> <*> * * * * * * * * * * * * * * * * * * * * ,11
9bc58f39,"synchronized to 10.100.26.250 , stratum 3 ",21
51c39df3,data_thread ( ) got not answer from any [ Thunderbird_B3 ] datasource ,30
431fe1ac,data_thread ( ) got not answer from any [ Thunderbird_D5 ] datasource ,28
7743bf43,"synchronized to 10.100.22.250 , stratum 3 ",94
bddd55bf,[ ib_sm_sweep.c:1455 ] : No topology change ,61
473e19a8,[ ib_sm_sweep.c:1482 ] : No configuration change required ,46
e52297d0,data_thread ( ) got not answer from any [ Thunderbird_A1 ] datasource ,23
5c3ff9c3,data_thread ( ) got not answer from any [ Thunderbird_C2 ] datasource ,25
a54518a6,data_thread ( ) got not answer from any [ Thunderbird_A3 ] datasource ,31
65b32e34,data_thread ( ) got not answer from any [ Thunderbird_A6 ] datasource ,21
3056fc91,Local disconnected : Connection closed . ,3
7109f1b4,connection lost : 'Connection closed . ' ,3
259cef1a,data_thread ( ) got not answer from any [ Thunderbird_B6 ] datasource ,31
004d271c,data_thread ( ) got not answer from any [ Thunderbird_B2 ] datasource ,24
52739f19,data_thread ( ) got not answer from any [ Thunderbird_C1 ] datasource ,21
a4bc8d0b,data_thread ( ) got not answer from any [ Thunderbird_C4 ] datasource ,22
58421904,data_thread ( ) got not answer from any [ Thunderbird_D7 ] datasource ,30
24148380,"synchronized to <*> , stratum 3 ",29
35690fe9,<*> <*> <*> <*> * * * * * * * * * * * * * * * * * * * * * * <*> <*> * * * * * * * * * * * * * * * * * * * * ,51
f88bd54b,data_thread ( ) got not answer from any [ Thunderbird_D6 ] datasource ,25
0861dcfe,data_thread ( ) got not answer from any [ Thunderbird_D4 ] datasource ,30
6c96fbe4,data_thread ( ) got not answer from any [ Thunderbird_D8 ] datasource ,31
f4ef17b3,unable to qualify my own domain name ( eadmin1 ) -- using short name ,2
14b8c756,"jA9J1UvC004306 : from=root , size=629060 , class=0 , nrcpts=1 , msgid= < 200511091901.jA9J1UvC004306 @ eadmin1 > , relay= # 7 # @ localhost ",1
0184dd81,"<*> : to=root , ctladdr=root ( 0/0 ) , <*> , xdelay=00:00:00 , mailer=relay , <*> , relay= [ 127.0.0.1 ] [ 127.0.0.1 ] , dsn=4.0.0 , stat=Deferred : Connection refused by [ 127.0.0.1 ] ",4
20ece7a6,unable to qualify my own domain name ( badmin1 ) -- using short name ,2
c1bd4391,unable to qualify my own domain name ( cadmin1 ) -- using short name ,2
59d4c732,unable to qualify my own domain name ( dadmin1 ) -- using short name ,2
de5e2906,"jA9J1Wd7019391 : from=root , size=1594553 , class=0 , nrcpts=1 , msgid= < 200511091901.jA9J1Wd7019391 @ cadmin1 > , relay= # 7 # @ localhost ",1
bcad4df8,"<*> : to=root , ctladdr=root ( 0/0 ) , delay=00:00:02 , xdelay=00:00:00 , mailer=relay , <*> , relay= [ 127.0.0.1 ] [ 127.0.0.1 ] , dsn=4.0.0 , stat=Deferred : Connection refused by [ 127.0.0.1 ] ",6
89167ae5,"jA9J1WSU011176 : from=root , size=1593894 , class=0 , nrcpts=1 , msgid= < 200511091901.jA9J1WSU011176 @ badmin1 > , relay= # 7 # @ localhost ",1
5665fba5,"jA9J1WFE024258 : from=root , size=1597080 , class=0 , nrcpts=1 , msgid= < 200511091901.jA9J1WFE024258 @ dadmin1 > , relay= # 7 # @ localhost ",1
b05de777,data_thread ( ) got not answer from any [ Thunderbird_C5 ] datasource ,26
c3d5d0e0,unable to qualify my own domain name ( aadmin1 ) -- using short name ,2
3a761a8a,DHCPDISCOVER from 00:11:43 : e3 : ba : c3 via eth1 ,5
6cfc6caf,DHCPOFFER on 10.100.4.251 to 00:11:43 : e3 : ba : c3 via eth1 ,5
ce500e5b,"jA9J1dQ7016560 : from=root , size=1595423 , class=0 , nrcpts=1 , msgid= < 200511091901.jA9J1dQ7016560 @ aadmin1 > , relay= # 7 # @ localhost ",1
b40d9b54,DHCPDISCOVER from 00:11:43 : e3 : ba : c3 via eth1 : network A_net : no free leases ,15
3be2b072,DHCPACK on 10.100.4.251 to 00:11:43 : e3 : ba : c3 via eth1 ,3
6a11043b,DHCPREQUEST for 10.100.4.251 ( 10.100.0.250 ) from 00:11:43 : e3 : ba : c3 via eth1 ,3
e90e0bfa,START : tftp pid=16563 from=10.100.4.251 ,1
ead9ffae,DHCPREQUEST for 10.100.4.251 ( 10.100.0.250 ) from 00:11:43 : e3 : ba : c3 via eth1 : unknown lease 10.100.4.251 . ,9
ae2c48f0,"synchronized to 10.100.30.250 , stratum 3 ",8
b066edf2,data_thread ( ) got not answer from any [ Thunderbird_B1 ] datasource ,21
9b743267,data_thread ( ) got not answer from any [ Thunderbird_A5 ] datasource ,17
8a0a4c62,data_thread ( ) got not answer from any [ Thunderbird_A2 ] datasource ,22
564fda2c,data_thread ( ) got not answer from any [ Thunderbird_A7 ] datasource ,24
d790ce95,data_thread ( ) got not answer from any [ Thunderbird_C6 ] datasource ,23
7568b669,[ <*> ] : <*> <*> <*> <*> ,16
c7c715d9,data_thread ( ) got not answer from any [ Thunderbird_B5 ] datasource ,22
92816fae,"synchronized to 10.100.14.250 , stratum 3 ",6
ee66cbb4,"synchronized to 10.100.12.250 , stratum 3 ",7
5517dc12,RRD_update ( /var/lib/ganglia/rrds/C Nodes/cn304/pkts_out.rrd ) : illegal attempt to update using time 1131563037 when last update time is 1131563037 ( minimum one second step ) ,1
93189d53,kernel time sync disabled 0041 ,1
3c32ecfb,time reset +0.182379 s ,1
1e437f3b,RRD_update ( /var/lib/ganglia/rrds/D Nodes/dn731/pkts_out.rrd ) : illegal attempt to update using time 1131563089 when last update time is 1131563089 ( minimum one second step ) ,1
e986c648,Received SNMP packet ( s ) from # 34 # ,1
478f6182,RRD_update ( /var/lib/ganglia/rrds/D Nodes/dn731/pkts_out.rrd ) : illegal attempt to update using time 1131563117 when last update time is 1131563117 ( minimum one second step ) ,1
12ef935a,RRD_update ( /var/lib/ganglia/rrds/D Nodes/dn731/pkts_out.rrd ) : illegal attempt to update using time 1131563149 when last update time is 1131563149 ( minimum one second step ) ,1
64bd5e3b,[ <*> ] : <*> <*> <*> ,1
7af6137c,"synchronized to 10.100.10.250 , stratum 3 ",8
47402430,RRD_update ( /var/lib/ganglia/rrds/D Nodes/dn731/pkts_out.rrd ) : illegal attempt to update using time 1131563319 when last update time is 1131563319 ( minimum one second step ) ,1
