LineId,Date,Time,Level,Component,Content,EventId,EventTemplate
1,2016-09-28,04:30:30,Info,CBS,Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,79336144,Loaded Servicing Stack <*> with <*> <*> 
2,2016-09-28,04:30:31,Info,CSI,00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @<*>@<*>@<*>@<*>@<*>@0xff83db2f),d6db2d48,<*> <*> <*> version <*> called <*> <*> 
3,2016-09-28,04:30:31,Info,CSI,00000002@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @<*>@<*>@<*>@<*>@<*>@0xff83d799),d6db2d48,<*> <*> <*> version <*> called <*> <*> 
4,2016-09-28,04:30:31,Info,CSI,00000003@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @<*>@<*>@<*>@<*>@<*>@0xff83db2f),d6db2d48,<*> <*> <*> version <*> called <*> <*> 
5,2016-09-28,04:30:31,Info,CBS,Ending TrustedInstaller initialization.,d4636b47,Ending <*> <*> 
6,2016-09-28,04:30:31,Info,CBS,Starting the TrustedInstaller main loop.,289637cf,Starting the <*> main <*> 
7,2016-09-28,04:30:31,Info,CBS,TrustedInstaller service starts successfully.,4e3b7ce5,<*> service starts <*> 
8,2016-09-28,04:30:31,Info,CBS,SQM: Initializing online with Windows opt-in: False,782dbd78,<*> Initializing online with Windows <*> False 
9,2016-09-28,04:30:31,Info,CBS,SQM: Cleaning up report files older than 10 days.,6293cf9b,<*> Cleaning up report files older than <*> <*> 
10,2016-09-28,04:30:31,Info,CBS,SQM: Requesting upload of all unsent reports.,06fad464,<*> Requesting upload of all unsent <*> 
11,2016-09-28,04:30:31,Info,CBS,"SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: <*>[HRESULT = <*>- E_FAIL]",90ca90c8,<*> Failed to start upload with file <*> <*> <*> <*> <*> <*> 
12,2016-09-28,04:30:31,Info,CBS,SQM: Failed to start standard sample upload. [HRESULT = <*>- E_FAIL],18268555,<*> Failed to start standard sample <*> <*> <*> <*> 
13,2016-09-28,04:30:31,Info,CBS,"SQM: Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6",23ba7964,<*> Queued <*> <*> for upload with <*> <*> <*> <*> 
14,2016-09-28,04:30:31,Info,CBS,SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*>- E_FAIL],a2e5450a,<*> <*> Failed to upload all unsent <*> <*> <*> <*> 
15,2016-09-28,04:30:31,Info,CBS,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",16972523,No startup processing <*> <*> service was not set as <*> or else a reboot is still <*> 
16,2016-09-28,04:30:31,Info,CBS,NonStart: Checking to ensure startup processing was not required.,2430ece1,<*> Checking to ensure startup processing was not <*> 
17,2016-09-28,04:30:31,Info,CSI,"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0xb6fd90",8f37b5cf,<*> <*> <*> <*> <*> <*> progress <*> phase <*> <*> <*> 
