EventId,EventTemplate,Occurrences
79336144,Loaded Servicing Stack <*> with <*> <*> ,2
d6db2d48,<*> <*> <*> version <*> called <*> <*> ,6
d4636b47,Ending <*> <*> ,3
289637cf,Starting the <*> main <*> ,2
4e3b7ce5,<*> service starts <*> ,2
782dbd78,<*> Initializing online with Windows <*> False ,2
6293cf9b,<*> Cleaning up report files older than <*> <*> ,2
06fad464,<*> Requesting upload of all unsent <*> ,2
90ca90c8,<*> Failed to start upload with file <*> <*> <*> <*> <*> <*> ,2
18268555,<*> Failed to start standard sample <*> <*> <*> <*> ,2
23ba7964,<*> Queued <*> <*> for upload with <*> <*> <*> <*> ,2
a2e5450a,<*> <*> Failed to upload all unsent <*> <*> <*> <*> ,2
16972523,No startup processing <*> <*> service was not set as <*> or else a reboot is still <*> ,2
2430ece1,<*> Checking to ensure startup processing was not <*> ,2
8f37b5cf,<*> <*> <*> <*> <*> <*> progress <*> phase <*> <*> <*> ,2
ff915915,<*> Creating NT transaction <*> <*> <*> <*> ,3
f2d7f4cb,<*> Created NT transaction <*> <*> result <*> <*> ,3
eff117d2,<*> CSI perf <*> ,3
7d333f15,<*> <*> startup processing not required as <*> ,2
aefbea77,Startup processing thread terminated normally ,2
21700af3,<*> CSI Store <*> <*> ,3
f883fd58,<*> <*> initialized by client <*> ,609
8561fe2e,<*> Unrecognized <*> <*> ,280
36c79237,Expecting attribute name <*> <*> <*> ,224
f64bb7e3,Failed to get next element <*> <*> <*> ,224
8ebc7377,Failed to internally open <*> <*> <*> <*> ,18
1bf12808,Read out cached package applicability for <*> <*> <*> <*> <*> ,558
a2c734e8,Failed to create backup log <*> <*> <*> <*> ,2
68075fbb,Reboot mark refs incremented <*> <*> ,1
30ee25b1,<*> Starts ,1
fac2103f,<*> CSI Transaction <*> for deployment engine <*> with flags <*> and client id <*> ,1
e95f6b61,<*> Begin CSI Store ,1
b954858c,<*> Performing <*> <*> <*> are not <*> and <*> ,1
5c6192ba,<*> Store coherency cookie matches last scavenge <*> skipping <*> ,1
5076564b,<*> <*> calling <*> <*> <*> FALSE <*> <*> ,1
b5f6193c,<*> <*> <*> <*> ,1
fd1c2cd2,<*> CSI Transaction <*> ,1
d8f28af8,Reboot mark <*> <*> ,1
58c1b1d5,Idle processing thread terminated normally ,1
68291d01,Ending the <*> main <*> ,1
f80a1c76,Starting <*> <*> ,2
a1b0f06e,Loading offline registry <*> <*> into registry key <*> from path <*> ,8
77ea6687,Offline image <*> <*> ,1
dd23a07c,Disabling manifest <*> because the image is not <*> ,1
a5d53ff8,<*> <*> <*> Begin ,1
a81bbfdb,<*> <*> <*> End ,1
6819866e,Unloading offline registry <*> <*> ,8
