EventId,EventTemplate,Occurrences
3be752db,Notification time out: <*> ,1
7b05832e,Received connection request <*> ,299
c802547c,Send worker leaving thread ,262
685f2871,Interrupted while waiting for message on queue ,314
4651da20,"Connection broken for id 188978561024, my id 1, error  ",94
1a7cc417,Interrupting SendWorker ,266
b0bf952d,Closed socket connection for client <*> which had sessionid <*> ,44
c33a72cc,caught end of stream exception ,37
1a5f78da,Client attempting to <*> session <*> at <*> ,3
e333df48,Client attempting to establish new session at <*> ,41
6e72d8e5,Established session <*> with negotiated timeout 10000 for client <*> ,45
f7c16424,Accepted socket connection from <*> ,48
b5f8f0ab,<*> <*> ,1
7b852299,Established session <*> with negotiated timeout 20000 for client <*> ,5
cf624f78,Connection request from old client <*> will be dropped if server is in r-o mode ,39
0e1b5dd8,Server environment:user.dir / ,1
328cba87,Cannot open channel to 2 at election address /10.10.34.12:3888 ,48
42e72162,Processed session termination for sessionid: <*> ,47
158fb6fe,Expiring session <*> timeout of 10000ms exceeded ,38
8acdc231,******* GOODBYE <*> ******** ,19
30045eee,LOOKING ,4
a489f374,Cannot open channel to 3 at election address /10.10.34.13:3888 ,38
2eb98c90,Notification time out: 60000 ,36
a22eb639,<*> election <*> <*> <*> ,1
70556bd7,<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,1
c05ab85e,FOLLOWING ,2
ffe1a824,"New election. My id 1, proposed zxid 0x700000000 ",1
927eb8c9,Server environment:host.name mesos-master-1 ,1
d4fc6af3,FOLLOWING - LEADER ELECTION TOOK - 49 ,1
cdb92f0e,"Notification: 3 (n.leader), 0x700000197 (n.zxid), 0x1 (n.round), LEADING (n.state), 3 (n.sid), 0x7 (n.peerEPoch), LOOKING (my state) ",1
3ea8dc74,FOLLOWING - LEADER ELECTION TOOK - 238 ,1
dbcef350,autopurge.snapRetainCount set to 3 ,1
7e56d707,Server environment:java.vendor Oracle Corporation ,2
03abc19f,Revalidating client: 0x14f05578bd80018 ,1
8b60dc88,"Server environment:zookeeper.version 3.4.5--1, built on 06/10/2013 17:26 GMT ",1
7aab8e5d,Server environment:user.name zookeeper ,2
e1f6e639,Revalidating client: 0x14f05578bd80013 ,1
3c18bc3a,Server environment:os.name Linux ,2
2c1277fe,Closed socket connection for client <*> <*> <*> <*> for <*> ,4
4a655176,Exception causing close of session 0x0 due to java.io.IOException: ZooKeeperServer not running ,3
ee54abbb,"Notification: 2 (n.leader), <*> (n.zxid), 0x2 (n.round), LOOKING (n.state), 1 (n.sid), 0xb (n.peerEPoch), LOOKING (my state) ",1
