LineId,Content,EventId,EventTemplate
1,jq: error (at <stdin>:11): null (null) has no keys,11b0965a,<*> error <*> <*> null <*> has no keys 
2,/localdisk/6500_repo/onid/setup/setenv: line 55: toolsetup: command not found,68f512b5,<*> line <*> <*> command not found 
3,cp: cannot stat '/localdisk/6500_repo/onid/*boot*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
4,cp: cannot stat '/localdisk/6500_repo/onid/*bld*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
5,cp: cannot stat '/localdisk/6500_repo/onid/*BASE*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
6,cp: cannot stat '/localdisk/6500_repo/onid/*SWD': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
7,cp: cannot stat '/localdisk/6500_repo/onid/*load': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
8,cp: cannot stat '/localdisk/6500_repo/onid/*raw': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
9,cp: cannot stat '/localdisk/6500_repo/onid/*tar': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
10,cp: cannot stat '/localdisk/6500_repo/onid/*sym': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
11,cp: cannot stat '/localdisk/6500_repo/onid/*sim': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
12,cp: cannot stat '/localdisk/6500_repo/onid/*bin': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
13,jq: error (at <stdin>:12): null (null) has no keys,11b0965a,<*> error <*> <*> null <*> has no keys 
14,/bin/bash: cleartool: command not found,203accb9,<*> <*> command not found 
15,sed: can't read dw_stubsA.d: No such file or directory,0616765b,<*> <*> <*> <*> No such file or directory 
16,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/basebuild/EQBASE/ppc/TCSBASE69_P12/*boot*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
17,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/basebuild/EQBASE/ppc/TCSBASE69_P12/*bld*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
18,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/basebuild/EQBASE/ppc/TCSBASE69_P12/*load': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
19,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/basebuild/EQBASE/ppc/TCSBASE69_P12/*tar': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
20,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/basebuild/EQBASE/ppc/TCSBASE69_P12/*sym': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
21,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/basebuild/EQBASE/ppc/TCSBASE69_P12/*sim': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
22,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/basebuild/EQBASE/ppc/TCSBASE69_P12/*map': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
23,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/basebuild/EQBASE/ppc/TCSBASE69_P12/*/*raw': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
24,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/basebuild/EQBASE/ppc/TCSBASE69_P12/*/*bin': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
25,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/basebuild/EQBASE/ppc/TCSBASE69_P12/*zip': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
26,ls: cannot access '/localdisk/gitlcb/data/6500/020403/*/TCSBASE69_P12_ppc': No such file or directory,1d8e378b,<*> cannot access <*> No such file or directory 
27,jq: error (at <stdin>:9): null (null) has no keys,11b0965a,<*> error <*> <*> null <*> has no keys 
28,make[2]: cleartool: Command not found,4fc7ccb6,<*> <*> Command not found 
29,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/basebuild/EQBASE/sim/TCSBASE69/*boot*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
30,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/basebuild/EQBASE/sim/TCSBASE69/*bld*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
31,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/basebuild/EQBASE/sim/TCSBASE69/*SWD': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
