EventId,EventTemplate,Occurrences
3aa50e45,instruction cache parity error corrected,42
def747b4,double-hummer alignment exceptions,79
d908fa5f,"CE sym 2, at mask",6
049e6f37,ciod: failed to read message prefix on control stream (CioStream socket to,3
d539d9cc,CE sym at mask 0x40,11
e727c5b7,generating,713
9f7cd7e7,force load/store alignment...............0,2
d5853204,CE sym at mask 0x10,15
22fbe7b4,CE sym at mask 0x04,15
a553aad2,ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff,1
84ba499c,ciod: LOGIN failed: No such file or directory,18
473a4daf,CE sym at mask 0x02,9
883be1ee,"1 ddr errors(s) detected and corrected on rank 0, symbol bit",18
69570568,CE sym at mask 0x20,10
38a7307d,data TLB error interrupt,60
b524a420,CE sym at mask 0x08,6
473b1afe,ciod: Message code 0 is not 51 or 4294967295,2
d2c9db9b,data storage interrupt,30
2c050cb7,instruction address: 0x00004ed8,20
ac8a6999,data address: 0x00000002,8
74814646,machine check: i-fetch......................0,6
08264f42,program interrupt: illegal instruction......0,8
8797b4b5,exception syndrome register: 0x00800000,6
7cc10966,data store interrupt caused by dcbf.........0,6
5f7a3f75,program interrupt: privileged instruction...0,5
f0490912,program interrupt: trap instruction.........0,2
14c982d9,program interrupt: imprecise exception......0,5
40c9c002,store operation.............................1,3
4f884f50,machine state register: 0x00002000,4
930a9735,data store interrupt caused by icbi.........0,6
6a308701,"problem state (0=sup,1=usr).......0",3
4a855bbd,floating point instr. enabled.....1,4
f28dcd0f,auxiliary processor.........................0,5
511c1d0d,machine check enable..............0,2
cba9de64,floating pt ex mode 0 enable......0,6
3cd4d8b4,program interrupt: unimplemented operation..0,2
2ec4bdb1,debug interrupt enable............0,2
3971a417,byte ordering exception.....................0,2
ae9a7a4f,data address space................0,5
e19f7ea0,core configuration register: 0x00002000,7
39f84cff,program interrupt: fp cr update.............0,1
1335bf9d,guaranteed instruction cache block touch.0,2
df88d884,program interrupt: fp cr field .............0,4
8af037ec,icache prefetch threshold................0,3
198c56f7,wait state enable.................0,2
268cafb1,"total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",66
f7c382bd,special purpose registers:,2
d7cb53a5,lr:00004ed0 cr:28244842 xer:20000002 ctr:00086000,1
af999985,rts internal error,1
fe410cc8,debug wait enable.................0,3
940724cb,instruction address space.........0,2
228fcad4,disable store gathering..................0,3
a9ddfd24,total of 1 ddr error(s) detected and corrected,11
67e2f29e,"ciod: Error loading invalid or missing program image, No such file or directory",21
f34da2cc,ciod: Error creating node map from file,4
77698bfd,"CE sym 0, at mask 0x40",6
2a777943,1146800 double-hummer alignment exceptions,30
26291376,iar dear,219
0d02c0e2,program interrupt,5
9d82ee48,instruction address: 0x0062fe04,1
a2335b6b,Node card is not fully functional,11
3eb4472a,Ido chip status changed: FF:F2:9F:16:E2:23:00:0D:60:E9:1D:DC ip=10.0.0.151 v=9 t=4 status=M Fri Jul 01 08:16:53 PDT 2005,1
9d5d6232,Can not get assembly information for node card,6
0654b74d,ciod: Missing or invalid fields on line 1 of node map file /home/auselton/bgl/64mps.sequential.mapfile,2
db49c5aa,1 torus receiver input pipe error(s) (dcr detected and corrected,5
088bafb1,ciod: duplicate canonical-rank 31 to logical-rank 0 mapping at line 3 of node map file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-sweep/sweep.map,2
fb9ddc97,ciod: generated 128 core files for program,18
d41d8cd9,,6
220716fc,rts panic! - stopping execution,2
2355b700,ciod: pollControlDescriptors: Detected the debugger died.,4
2fbf058f,"rts: kernel terminated for reason 1001rts: bad message header: invalid cpu, type=42315, cpu=105, index=1207960804, total=2691015",1
f8c496cb,8 floating point alignment exceptions,37
548b7855,"NFS Mount failed on slept 15 seconds, retrying (1)",3
29c25e03,15 floating point alignment exceptions,14
c024faf2,5 floating point alignment exceptions,22
1e337049,685 floating point alignment exceptions,4
3a354814,1005 floating point alignment exceptions,5
1db6496e,New ido chip inserted into the database: v=13 t=4,3
1659537e,Node card VPD check: U11 node in processor card slot do not match. VPD ecid found,9
e3703b8d,"idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",35
f19050a1,Ido chip status changed: v=13 t=4 status=M Thu Aug 04 PDT 2005,3
603d35e7,"CE sym 27, at mask",5
5c91f41f,tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected,3
262ac5c8,"ciod: Error loading /bgl/apps/scaletest/performance/MINIBEN/mb_243_0810/allreduce.rts: invalid or missing program image, Exec format error",17
20a6499e,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to Link has been severed,9
ff46fc05,rts: kernel terminated for reason 1003,1
d5136bdb,rts: kernel terminated for reason 1004,5
25413dba,ciod: generated 64 core files for program,13
d9bded5e,Lustre mount FAILED : : point /p/gb1,11
b5fc5b33,CE sym at mask 0x80,6
ea3efa0b,suppressing further interrupts of same type,2
e0d4d6ba,Ido chip status changed: FF:F2:9F:15:7B:E0:00:0D:60:EA:84:1F ip=10.7.0.130 v=13 t=1 status=M Sat Sep 17 07:49:04 PDT 2005,2
67d49f9f,rts: bad message header: expecting type 57 instead of type 3 (softheader=00131db8 81aa0003 00000002 00000000) PSR0=00001f01 PSR1=00000000 PRXF=00000002 PIXF=00000007,1
f8c33a8d,total of ddr error(s) detected and corrected,6
2be009e3,critical input interrupt (unit=0x0b bit=0x06): warning for torus y+ wire,1
571ba03e,"ciod: Error loading invalid or missing program image, Permission denied",19
f3eed4bf,data cache search parity error detected. attempting to correct,6
f1f86793,critical input interrupt (unit=0x0b bit=0x0b): warning for torus z- wire,1
a667976e,"Error receiving packet on tree network, expecting type 57 instead of type 3 00000002 00000000) PSR0=00001f01 PSR1=00000000 PRXF=00000002 PIXF=00000007",5
920eb57c,640404 floating point alignment exceptions,5
76ff207d,640764 floating point alignment exceptions,2
ed273b74,62500 floating point alignment exceptions,5
b24a607d,2354412 floating point alignment exceptions,15
59594fcd,floating point alignment exceptions,6
3d226375,16469355 floating point alignment exceptions,2
12df0ad1,16736445 floating point alignment exceptions,2
fd004ed0,407736 floating point alignment exceptions,2
94bfd997,iar 00106448 dear 0246dacc,1
e84d0e9f,"critical input interrupt (unit=0x0b bit=0x0a): warning for torus z+ wire, suppressing further interrupts of same type",3
5be096f7,torus sender z- retransmission error(s) (dcr 0x02f9) detected and corrected over seconds,3
5abc38e5,"ciod: Received signal 15, code=0, errno=0, address=0x000001b0",4
5a695884,MACHINE CHECK DCR read timeout (mc=e08x iar 0x00000000 lr 0xc00045a4),7
53300689,"ciod: Received signal 15, code=0, errno=0, address=0x000001f2",7
e57e9490,ciod: Error reading message prefix on CioStream socket to Connection reset by peer,6
8e2b94d3,"ciod: Received signal 15, code=0, errno=0, address=0x000001f5",5
68cda9ce,ciod: Error reading message prefix on CioStream socket to Link has been severed,8
77b17bd0,r24=0x0ffea4c8 r25=0x00000003 r26=0x0000000f r27=0xffffd000,1
92420707,0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.,51
cd1ebf45,"10674 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",1
1e66ce32,"10698 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",1
a00df90c,"10640 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",1
1eac5fbe,"10730 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",1
ef6a9fc8,"10736 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",1
23dff22e,"720 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",1
1ff9c419,"1 ddr error(s) detected and corrected on rank 0, symbol over seconds",3
64d56eed,minus normalized number..................0,1
7c664f8f,"28 ddr error(s) detected and corrected on rank 0, symbol over seconds",4
a77244af,ciod: LOGIN chdir(/p/gb1/stella/RAPTOR/2183) failed: Input/output error,1
