EventId,EventTemplate,Occurrences
8c7b6197,Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,2
bd615fa5,WcpInitialize (wcp.dll version 0.0.0.6) called (stack @@@@@@0xff83db2f),3
2d8b5399,Ending TrustedInstaller initialization.,3
ddb70245,Starting the TrustedInstaller main loop.,4
70236f55,TrustedInstaller service starts successfully.,4
492269e4,SQM: Initializing online with Windows opt-in: False,2
88c7a286,SQM: Cleaning up report files older than 10 days.,3
7e5b1617,SQM: Requesting upload of all unsent reports.,3
1305dd15,SQM: Failed to start upload with pattern: flags: [HRESULT = - E_FAIL],8
6342ae85,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",3
b756d24a,NonStart: Checking to ensure startup processing was not required.,4
99c9fe74,"00000005 Creating NT transaction (seq 1), objectname [6]""(null)""",4
72d8180b,00000006 Created NT transaction (seq 1) result handle,4
4a10e3aa,CSI perf trace:,3
0249909f,Startup processing thread terminated normally,3
9234672b,CSI Store (initialized,3
0093dfa1,Session: initialized by client WindowsUpdateAgent.,608
39b783c8,Warning: Unrecognized packageExtended attribute.,280
a80a94eb,Expecting attribute name [HRESULT = - CBS_E_MANIFEST_INVALID_ITEM],224
71c8e0c3,Failed to get next element [HRESULT = - CBS_E_MANIFEST_INVALID_ITEM],224
951f7099,Failed to internally open package. [HRESULT = - CBS_E_INVALID_PACKAGE],18
cdad85db,"Read out cached package applicability for package: ApplicableState: 112, CurrentState:112",409
1238922a,"Read out cached package applicability for package: ApplicableState: 80, CurrentState:112",81
8f91e4f3,"Read out cached package applicability for package: ApplicableState: 80, CurrentState:0",44
1573ce74,"Read out cached package applicability for package: ApplicableState: 0, CurrentState:0",24
26785e7f,Failed to create backup log cab. [HRESULT = - ERROR_INVALID_FUNCTION],2
61d03dc7,Reboot mark refs incremented to: 1,2
5d86bd83,0000000c ICSITransaction::Commit calling IStorePendingTransaction::Apply - coldpatching=FALSE applyflags=7,2
d287433e,"Scavenge: Completed, disposition: 0X1",2
f123e601,00000010@2016/9/27:20:40:54.787 CSI Transaction @destroyed,2
92af50b8,WcpInitialize (wcp.dll version 0.0.0.6) called (stack @@@@@@0xffeedb2f),3
d9fa425a,Loading offline registry hive: into registry key from path,16
51d9dc41,PopulateComponentFamiliesKey -,3
