EventId,EventTemplate,Occurrences
f3baff5c,Notification time out: 60000,37
663a6d5a,Received connection request,299
7a2ec7d0,Send worker leaving thread,262
45a3ec5d,Interrupted while waiting for message on queue,314
411ba69f,"Connection broken for id 188978561024, my id = error =",292
273e53f2,Interrupting SendWorker,266
64aed492,Closed socket connection for client which had sessionid,44
ecefe136,caught end of stream exception,37
1849cbeb,Client attempting to establish new session at,44
55d4b8ff,Established session with negotiated timeout 10000 for client,45
d6afa32e,Accepted socket connection from,48
63d9783e,Unexpected Exception:,2
01f26d56,Established session with negotiated timeout 20000 for client,5
31bdce23,Connection request from old client ; will be dropped if server is in r-o mode,39
4c5926a1,Getting a snapshot from leader,3
b5b887d6,Cannot open channel to 2 at election address,86
a46e9ff8,Processed session termination for sessionid:,47
ef9d9450,Expiring session timeout of 10000ms exceeded,40
e9225b3a,******* GOODBYE ********,19
00078e14,LOOKING,4
ed297523,"Have smaller server identifier, so dropping the connection: (2, 1)",2
c172d526,FOLLOWING,2
0b9b358a,FOLLOWING - LEADER ELECTION TOOK - 49,2
b7ac2146,"Notification: 3 (n.leader), (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), (n.peerEPoch), LOOKING (my state)",12
d961f4e8,Server environment:java.vendor=Oracle Corporation,2
3eb0bfe9,Revalidating client:,3
ae80a1f9,"Server environment:zookeeper.version=3.4.5--1, built on 06/10/2013 17:26 GMT",2
17644875,Server environment:user.name=zookeeper,3
467d31ff,Server environment:os.name=Linux,3
ee015cf3,Closed socket connection for client (no session established for client),4
ecf6827a,Exception causing close of session 0x0 due to java.io.IOException: ZooKeeperServer not running,3
0cf47064,Unexpected exception causing shutdown while sock still open,12
2a7add7e,Got user-level KeeperException when processing sessionid:0x34ed93485090001 type:create cxid:0x55b8bb0f zxid:0x100000010 txntype:-1 reqpath:n/a Error Path:/home/curi/.zookeeper Error:KeeperErrorCode = NodeExists for /home/curi/.zookeeper,2
d459c04c,Starting quorum peer,2
427d7aa8,Snapshotting: to,3
3204f3ff,autopurge.purgeInterval set to 0,3
5bd1f197,minSessionTimeout set to -1,3
a3e8a36b,Have quorum of supporters; starting up and setting last processed zxid: 0xb00000000,2
9cb3def4,First is 0x0,2
