,HDFS,Hadoop,Spark,Zookeeper,BGL,HPC,Thunderbird,Windows,Linux,Andriod,HealthApp,Apache,Proxifier,OpenSSH,OpenStack,Mac
AEL,1.0,0.9974318363180472,0.9838549390144486,0.999258043274626,0.9991534192456025,0.9846033376384327,0.9999582347208688,0.9985644886601583,0.9848154275568543,0.8888477778261438,0.9829308857952446,1.0,0.9999111947550257,0.9965643285737683,0.9725101754596649,0.9273516736333884
Drain,1.0,0.9831127633209418,0.9838745305942125,0.9990806246236307,0.996567082724504,0.8667992637891112,0.9885320830500415,0.9999914615056211,0.9905745553248875,0.537258049659855,0.9725324955952263,1.0,0.9993920598676282,0.9979802840726806,0.7727865884809311,0.9930297178919606
IPLoM,1.0,0.9927799715368117,0.9838821564349298,0.999080590812344,0.9982210038204672,0.9577772721426946,0.9997751570418626,0.9892701389465144,0.9886203770281677,0.907132988679918,0.9599654782857447,1.0,1.0,0.9965803365707119,0.8332763752618234,0.9412201627333806
Lenma,1.0,0.999674922286109,0.9837968014465193,0.9997555170123257,0.9996703320854792,0.9842593796313148,0.9999801338975306,0.9893040978675045,0.9968611918315353,0.9923094792698285,0.9999212551922357,1.0,1.0,0.9979802840726806,0.9930211849034202,0.9646368201428672
LKE,1.0,0.7658579579718885,0.12751203910373218,0.9991778874959939,0.9999890821350976,0.0968744372186093,0.964955339180816,0.9998229535998658,0.8773398997287278,1.0,0.1071263702463461,1.0,1.0,0.999933619323415,0.8803636618108446,0.9892297650130548
LogMine,0.9977133818065067,0.9968500621485167,0.7261481672246545,0.9999905264454276,0.9418188711087739,1.0,0.9989314499310805,0.9999906801835072,0.8857998146203675,0.8133119325876511,0.9840766972416195,1.0,1.0,1.0,0.9999509202453988,0.9704697528335382
MoLFI,1.0,0.9999598260467826,0.9998694749332542,0.9996113446968741,0.9993574620399607,0.9680931703521498,0.9997950199805766,0.9983162092553103,0.9758253623380408,0.9693717970310132,0.6589938368926472,1.0,0.9999700207793473,0.996591236378617,0.8230505127697375,0.9500289268151576
SHISO,1.0,0.9965260845910492,0.9847021027810474,0.9959166119440257,0.9960690697341167,0.37154701715015964,0.9683862129382764,0.9999916779014997,0.9960477004520752,0.7434380328540946,0.7303771444775273,1.0,1.0,0.9979893986474137,0.9911356113269382,0.9676297295378719
Spell,1.0,0.9995880701322437,0.9838549390144486,0.9993837295400507,0.9990393275292705,0.9767214476777174,0.9900674828636036,0.999988349985088,0.8971684188931834,0.9992314462446232,0.9763433867165271,1.0,1.0,0.8638202869789888,0.9999531509343043,0.9529552442774172
Parser,0.9998183205552124,1.0,0.9999566739795738,0.9998849749705536,0.9998669232991337,0.9816487716843588,0.9996803475277561,0.9985784317146998,0.9684836093288198,0.5718793289210404,0.343095291359068,1.0,0.9964369100707086,0.9999444309932166,0.8474525388301605,0.7494370253993192
