Dataset,HDFS,Hadoop,Spark,Zookeeper,BGL,HPC,Thunderbird,Windows,Linux,Andriod,HealthApp,Apache,Proxifier,OpenSSH,OpenStack,Mac
AEL,0.9999686056596148,0.9943103810308346,0.9982865785928674,0.9913555540220367,0.9999545531273941,0.9999277053683928,0.9983023723106004,0.9999976700621628,1.0,0.9983254904357391,0.7706934690841649,1.0,0.6479396479983002,0.9780340612693704,0.9999559004143156,0.9995808738779645
Drain,0.980095988195728,0.8009198688439857,1.0,0.9998803855266487,0.18376118317686624,0.6031231280854316,0.9988444218535315,0.8186166693072628,0.6832780304367574,0.9981054818798509,0.5651835823923186,0.5006011474373138,0.305627733413602,1.0,0.6137184991147008,0.736439523593308
IPLoM,1.0,1.0,1.0,0.9998435810733098,1.0,0.9998863941503315,0.9976491331178372,0.9999650509324411,0.9408004474477035,0.995135366375359,0.9562609275233523,1.0,0.647986127095986,0.9985972192794675,1.0,0.9736998358422688
Lenma,0.9999686056596148,0.993422009012938,0.9944067623031535,0.9970832470728959,0.8859283497591316,0.9774130915250037,0.9994361096329948,0.9999417515540685,0.9933557189409611,0.9919941331051764,0.24532229552852988,1.0,0.5996456522124051,1.0,0.9958369991113933,0.952743529740491
LKE,1.0,1.0,1.0,0.9896809513951188,0.8919792762260917,1.0,0.9999980144705387,0.9999860203729765,0.980142524787135,0.984318279044185,0.9975222897327164,1.0,0.6854792658958514,0.8804567804721234,0.9986108630509416,0.2117285459816283
LogMine,0.9999686056596148,0.9942134677197914,0.9995627821236972,0.9712327191590182,1.0,0.9526521801995332,0.9986180714949449,0.9999836904351392,0.9988893142110263,0.9909552038134817,0.8596495464775944,1.0,0.56143208739841,0.6338194358191289,0.988333454607194,0.9928748559253956
MoLFI,0.9999686056596148,0.8040816656167724,0.33190745161061613,0.9111034435166655,0.9996851180969447,0.9958533864871005,0.9975002184082408,0.8399006514506193,0.5843575773562901,0.9849049685265538,0.9992996725365377,1.0,0.5906021477769712,0.9985972192794675,0.650687181793927,0.9176766441968496
SHISO,0.9999686056596148,0.9985018817334561,0.9984441345843279,0.9907712833252823,0.9928356251541948,0.9968964947431475,0.8603636695761292,0.8399029813884565,0.9556995039597932,0.9752245920674693,0.9952087941810033,1.0,0.6388607309170105,0.9972894185035545,0.9962713800303846,0.9521846949111104
Spell,1.0,0.8524898644828868,0.9982865785928674,0.9997147654866239,0.9182313375663849,0.9955848635697023,0.9988841324427572,0.9999603910567666,0.980142524787135,0.985259426755485,0.8120900669416459,1.0,0.7123928767462862,0.97951720963535,0.9883312496279097,0.9742237434948133
Parser,1.0,0.9999686056596148,1.0,0.9997883743933016,1.0,0.9999483609774235,0.999735924581649,1.0,0.4828904804311048,0.9990955203813482,1.0,1.0,0.5979137525010181,0.9203008672399559,0.9959009435106357,0.999650728231637
