Token,Cluster,Frequence,Type
IOThunderboltSwitch,59,17,STATIC
<,59,17,STATIC
0,59,34,STATIC
>,59,17,STATIC
(,59,17,STATIC
0x0,59,34,STATIC
),59,17,STATIC
:,59,17,STATIC
:listenerCallback,59,17,STATIC
-,59,17,STATIC
Thunderbolt,59,17,STATIC
HPD,59,17,STATIC
packet,59,17,STATIC
for,59,17,STATIC
route,59,17,STATIC
=,59,51,STATIC
port,59,17,STATIC
11,59,17,STATIC
unplug,59,17,STATIC
Thermal,23,19,STATIC
pressure,23,38,STATIC
state,23,38,STATIC
:,23,38,STATIC
1,23,19,STATIC
Memory,23,19,STATIC
0,23,19,STATIC
FA||Url||taskID,108,2,STATIC
[,108,2,STATIC
2019352994,108,1,VARIABLE
],108,2,STATIC
dealloc,108,2,STATIC
ARPT,94,5,STATIC
:,94,25,STATIC
620701.011328,94,1,VARIABLE
AirPort_Brcm43xx,94,5,STATIC
:syncPowerState,94,5,STATIC
WWEN,94,5,STATIC
[,94,7,STATIC
enabled,94,5,STATIC
],94,7,STATIC
ARPT,151,9,STATIC
:,151,36,STATIC
620702.879952,151,1,VARIABLE
AirPort_Brcm43xx,151,9,STATIC
:platformWoWEnable,151,9,STATIC
WWEN,151,9,STATIC
[,151,9,STATIC
disable,151,9,STATIC
],151,9,STATIC
mDNS_DeregisterInterface,82,2,VARIABLE
:,82,47,STATIC
Frequent,82,2,VARIABLE
transitions,82,2,VARIABLE
for,82,6,STATIC
interface,82,2,VARIABLE
awdl0,82,2,VARIABLE
(,82,2,VARIABLE
FE80:0000:0000:0000,82,2,VARIABLE
D8A5:90FF,82,2,VARIABLE
FEF5:7FFF,82,2,VARIABLE
),82,2,VARIABLE
ARPT,55,7,STATIC
:,55,42,STATIC
620749.901374,55,1,VARIABLE
IOPMPowerSource,55,7,STATIC
Information,55,7,STATIC
onSleep,55,7,STATIC
",",55,28,STATIC
SleepType,55,7,STATIC
Normal,55,7,STATIC
Sleep,55,7,STATIC
'ExternalConnected,55,7,STATIC
',55,14,STATIC
Yes,55,7,STATIC
'TimeRemaining,55,7,STATIC
0,55,7,STATIC
ARPT,-1,10,VARIABLE
:,-1,114,STATIC
620750.434035,-1,1,VARIABLE
wl0,-1,6,VARIABLE
wl_update_tcpkeep_seq,-1,4,VARIABLE
Original,-1,4,VARIABLE
Seq,-1,4,VARIABLE
3226706533,-1,1,VARIABLE
",",-1,32,STATIC
Ack,-1,4,VARIABLE
3871687177,-1,1,VARIABLE
Win,-1,4,VARIABLE
size,-1,4,VARIABLE
4096,-1,4,VARIABLE
ARPT,170,8,STATIC
:,170,17,STATIC
620752.337198,170,1,VARIABLE
Wake,170,8,STATIC
Reason,170,4,STATIC
on,170,5,STATIC
Scan,170,4,STATIC
offload,170,4,STATIC
__73-,131,16,STATIC
[,131,16,STATIC
NetworkAnalyticsEngine,131,16,STATIC
observeValueForKeyPath,131,16,STATIC
:,131,73,STATIC
ofObject,131,16,STATIC
change,131,16,STATIC
context,131,16,STATIC
],131,16,STATIC
_block_invoke,131,16,STATIC
unexpected,131,16,STATIC
switch,131,16,STATIC
value,131,16,STATIC
2,131,16,STATIC
IO80211AWDLPeerManager,2,7,STATIC
:,2,13,STATIC
:setAwdlAutoMode,2,7,STATIC
Resuming,2,7,STATIC
AWDL,2,7,STATIC
ARPT,97,9,STATIC
:,97,36,STATIC
620896.311264,97,1,VARIABLE
wl0,97,9,STATIC
MDNS,97,9,STATIC
0,97,18,STATIC
SRV,97,9,STATIC
Recs,97,18,STATIC
",",97,9,STATIC
TXT,97,9,STATIC
AppleCamIn,44,12,STATIC
:,44,20,STATIC
:systemWakeCall,44,12,STATIC
-,44,12,STATIC
messageType,44,12,STATIC
=,44,12,STATIC
0xE0000340,44,12,STATIC
setting,199,5,STATIC
hostname,199,5,STATIC
to,199,5,STATIC
``,199,5,STATIC
authorMacBook-Pro.local,199,5,STATIC
'',199,5,STATIC
<,108,6,STATIC
*,108,6,STATIC
>,108,6,STATIC
:,108,9,STATIC
scheduler_evaluate_activity,108,6,STATIC
told,108,6,STATIC
me,108,6,STATIC
to,108,9,STATIC
run,108,6,STATIC
this,108,6,STATIC
job,108,6,STATIC
;,108,6,STATIC
however,108,6,STATIC
",",108,6,STATIC
but,108,6,STATIC
the,108,6,STATIC
start,108,6,STATIC
time,108,6,STATIC
is,108,6,STATIC
n't,108,6,STATIC
for,108,6,STATIC
439034,108,1,VARIABLE
seconds,108,6,STATIC
.,108,12,STATIC
Ignoring,108,6,STATIC
CCIOReporterFormatter,41,7,STATIC
:,41,37,STATIC
:addRegistryChildToChannelDictionary,41,7,STATIC
streams,41,7,STATIC
7,41,7,STATIC
[,155,6,STATIC
09:21:58.929,155,1,VARIABLE
],155,6,STATIC
<,155,15,STATIC
CRABS,155,3,STATIC
>,155,15,STATIC
crabsFlumeHostAvailable,155,3,STATIC
:,155,6,STATIC
0x7f961cf08cf0,155,3,STATIC
Byte,155,3,STATIC
flume,155,3,STATIC
reports,155,3,STATIC
host,155,3,STATIC
available,155,3,STATIC
again,155,3,STATIC
.,155,9,STATIC
<,42,4,VARIABLE
*,42,4,VARIABLE
>,42,4,VARIABLE
:,42,52,STATIC
scheduler_evaluate_activity,42,4,VARIABLE
told,42,4,VARIABLE
me,42,4,VARIABLE
to,42,4,VARIABLE
run,42,4,VARIABLE
this,42,4,VARIABLE
job,42,4,VARIABLE
;,42,4,VARIABLE
however,42,4,VARIABLE
",",42,4,VARIABLE
but,42,4,VARIABLE
the,42,4,VARIABLE
start,42,4,VARIABLE
time,42,4,VARIABLE
is,42,4,VARIABLE
n't,42,4,VARIABLE
for,42,4,VARIABLE
2450,42,1,VARIABLE
seconds,42,4,VARIABLE
.,42,8,STATIC
Ignoring,42,4,VARIABLE
AirPort,107,7,STATIC
:,107,7,STATIC
Link,107,7,STATIC
Down,107,7,STATIC
on,107,7,STATIC
awdl0,107,7,STATIC
.,107,14,STATIC
Reason,107,7,STATIC
1,107,7,STATIC
(,107,7,STATIC
Unspecified,107,7,STATIC
),107,7,STATIC
PM,184,6,STATIC
response,184,6,STATIC
took,184,6,STATIC
2010,184,1,VARIABLE
ms,184,11,STATIC
(,184,6,STATIC
54,184,6,STATIC
",",184,12,STATIC
powerd,184,6,STATIC
),184,6,STATIC
438666,108,1,VARIABLE
ARPT,90,2,STATIC
:,90,7,STATIC
621131.293163,90,1,STATIC
wl0,90,2,STATIC
Roamed,90,2,STATIC
or,90,2,STATIC
switched,90,2,STATIC
channel,90,2,STATIC
",",90,6,STATIC
reason,90,2,STATIC
#,90,2,STATIC
8,90,2,STATIC
bssid,90,2,STATIC
5c:50:15:4c:18:13,90,1,STATIC
last,90,2,STATIC
RSSI,90,2,STATIC
-64,90,1,STATIC
621145.554555,55,1,VARIABLE
621146.080894,-1,1,VARIABLE
3014995849,-1,1,VARIABLE
2590995288,-1,1,VARIABLE
nw_nat64_post_new_ifstate,90,7,STATIC
successfully,90,7,STATIC
changed,90,7,STATIC
NAT64,90,7,STATIC
ifstate,90,7,STATIC
from,90,7,STATIC
0x4,90,7,STATIC
to,90,7,STATIC
0x8000000000000000,90,7,STATIC
<,144,6,STATIC
*,144,6,STATIC
>,144,6,STATIC
:,144,6,STATIC
scheduler_evaluate_activity,144,6,STATIC
told,144,6,STATIC
me,144,6,STATIC
to,144,6,STATIC
run,144,6,STATIC
this,144,6,STATIC
job,144,6,STATIC
;,144,6,STATIC
however,144,6,STATIC
",",144,6,STATIC
but,144,6,STATIC
the,144,6,STATIC
start,144,6,STATIC
time,144,6,STATIC
is,144,6,STATIC
n't,144,6,STATIC
for,144,6,STATIC
2165,144,1,VARIABLE
seconds,144,6,STATIC
.,144,12,STATIC
Ignoring,144,6,STATIC
<,145,10,STATIC
*,145,10,STATIC
>,145,10,STATIC
:,145,14,STATIC
scheduler_evaluate_activity,145,10,STATIC
told,145,10,STATIC
me,145,10,STATIC
to,145,10,STATIC
run,145,10,STATIC
this,145,10,STATIC
job,145,10,STATIC
;,145,10,STATIC
however,145,10,STATIC
",",145,10,STATIC
but,145,10,STATIC
the,145,10,STATIC
start,145,10,STATIC
time,145,10,STATIC
is,145,10,STATIC
n't,145,10,STATIC
for,145,10,STATIC
13090,145,1,VARIABLE
seconds,145,10,STATIC
.,145,20,STATIC
Ignoring,145,10,STATIC
IO80211AWDLPeerManager,143,11,STATIC
:,143,20,STATIC
:setAwdlSuspendedMode,143,11,STATIC
(,143,22,STATIC
),143,22,STATIC
Suspending,143,11,STATIC
AWDL,143,11,STATIC
",",143,11,STATIC
enterQuietMode,143,11,STATIC
true,143,11,STATIC
network_reachability_changed,132,1,STATIC
:,132,8,STATIC
network,132,1,STATIC
is,132,7,STATIC
not,132,2,STATIC
reachable,132,1,STATIC
",",132,6,STATIC
netbiosd,132,1,STATIC
shutting,132,1,STATIC
down,132,1,STATIC
CCFile,114,14,STATIC
:,114,17,STATIC
:captureLogRun,114,14,STATIC
(,114,8,STATIC
),114,8,STATIC
Exiting,114,7,STATIC
2039,144,1,VARIABLE
<,127,15,STATIC
*,127,15,STATIC
>,127,15,STATIC
(,127,3,STATIC
31211,127,1,VARIABLE
),127,3,STATIC
deny,127,3,STATIC
network-outbound,127,3,STATIC
/private/var/run/mDNSResponder,127,3,STATIC
ARPT,52,3,VARIABLE
:,52,48,STATIC
621241.634070,52,1,VARIABLE
wl0,52,3,VARIABLE
MDNS,52,3,VARIABLE
IPV6,52,3,VARIABLE
Addr,52,3,VARIABLE
2607,52,3,VARIABLE
f140:6000:8,52,3,VARIABLE
c6b3:1ff,52,3,VARIABLE
fecd:467f,52,3,VARIABLE
AirPort,104,4,STATIC
:,104,6,STATIC
Link,104,4,STATIC
Up,104,4,STATIC
on,104,4,STATIC
en0,104,4,STATIC
<,32,6,STATIC
*,32,6,STATIC
>,32,6,STATIC
:,32,11,STATIC
scheduler_evaluate_activity,32,6,STATIC
told,32,6,STATIC
me,32,6,STATIC
to,32,6,STATIC
run,32,6,STATIC
this,32,6,STATIC
job,32,6,STATIC
;,32,6,STATIC
however,32,6,STATIC
",",32,6,STATIC
but,32,6,STATIC
the,32,6,STATIC
start,32,7,STATIC
time,32,7,STATIC
is,32,6,STATIC
n't,32,6,STATIC
for,32,6,STATIC
438274,32,1,VARIABLE
seconds,32,6,STATIC
.,32,12,STATIC
Ignoring,32,6,STATIC
<,150,4,STATIC
*,150,4,STATIC
>,150,4,STATIC
:,150,6,STATIC
scheduler_evaluate_activity,150,4,STATIC
told,150,4,STATIC
me,150,4,STATIC
to,150,4,STATIC
run,150,4,STATIC
this,150,4,STATIC
job,150,4,STATIC
;,150,4,STATIC
however,150,4,STATIC
",",150,4,STATIC
but,150,4,STATIC
the,150,4,STATIC
start,150,4,STATIC
time,150,4,STATIC
is,150,4,STATIC
n't,150,4,STATIC
for,150,4,STATIC
1849,150,1,STATIC
seconds,150,4,STATIC
.,150,8,STATIC
Ignoring,150,4,STATIC
Sandbox,140,7,STATIC
:,140,70,STATIC
<,140,31,STATIC
*,140,11,STATIC
>,140,33,STATIC
(,140,50,STATIC
31229,140,1,VARIABLE
),140,50,STATIC
deny,140,7,STATIC
1,140,7,STATIC
network-outbound,140,7,STATIC
/private/var/run/mDNSResponder,140,7,STATIC
ARPT,83,2,STATIC
:,83,15,STATIC
621342.242614,83,1,VARIABLE
AirPort_Brcm43xx,83,2,STATIC
:platformWoWEnable,83,2,STATIC
WWEN,83,2,STATIC
[,83,2,STATIC
enable,83,2,STATIC
],83,2,STATIC
AirPort,53,9,STATIC
:,53,9,STATIC
Link,53,9,STATIC
Up,53,9,STATIC
on,53,9,STATIC
awdl0,53,9,STATIC
621389.379319,52,1,VARIABLE
AppleThunderboltGenericHAL,185,8,STATIC
:,185,8,STATIC
:earlyWake,185,8,STATIC
-,185,16,STATIC
complete,185,8,STATIC
took,185,8,STATIC
0,185,8,STATIC
milliseconds,185,8,STATIC
438095,108,1,VARIABLE
mDNS_DeregisterInterface,38,3,STATIC
:,38,8,STATIC
Frequent,38,3,STATIC
transitions,38,3,STATIC
for,38,3,STATIC
interface,38,3,STATIC
en0,38,3,STATIC
(,38,3,STATIC
2607,38,1,STATIC
F140:6000:0008,38,1,STATIC
C6B3:01FF,38,1,STATIC
FECD:467F,38,1,STATIC
),38,3,STATIC
AppleThunderboltNHIType2,9,3,STATIC
:,9,17,STATIC
:waitForOk2Go2Sx,9,3,STATIC
-,9,3,STATIC
retries,9,3,STATIC
=,9,3,STATIC
7,9,3,STATIC
ARPT,133,3,STATIC
:,133,21,STATIC
621490.858770,133,1,VARIABLE
wl0,133,3,STATIC
wl_update_tcpkeep_seq,133,3,STATIC
Updated,133,3,STATIC
seq/ack/win,133,3,STATIC
from,133,3,STATIC
UserClient,133,3,STATIC
Seq,133,3,STATIC
2119064372,133,1,VARIABLE
",",133,6,STATIC
Ack,133,3,STATIC
3325040593,133,1,VARIABLE
Win,133,3,STATIC
size,133,3,STATIC
278,133,3,STATIC
ARPT,203,2,STATIC
:,203,12,STATIC
621490.890645,203,1,VARIABLE
AirPort_Brcm43xx,203,2,STATIC
:syncPowerState,203,2,STATIC
WWEN,203,2,STATIC
[,203,2,STATIC
enabled,203,2,STATIC
],203,2,STATIC
621492.770239,151,1,VARIABLE
en0,72,10,STATIC
:,72,20,STATIC
:IO80211Interface,72,10,STATIC
:postMessage,72,10,STATIC
bssid,72,10,STATIC
changed,72,10,STATIC
621542.378462,170,1,VARIABLE
1268,145,1,VARIABLE
<,162,5,STATIC
*,162,5,STATIC
>,162,5,STATIC
:,162,5,STATIC
scheduler_evaluate_activity,162,5,STATIC
told,162,5,STATIC
me,162,5,STATIC
to,162,5,STATIC
run,162,5,STATIC
this,162,5,STATIC
job,162,5,STATIC
;,162,5,STATIC
however,162,5,STATIC
